dataset,column,role,inferred_type,action,notes
W3,19-1_9,question,likert_4,keep,
W3,19-1_10,question,likert_4,keep,
W3,19-1_11,question,likert_4,keep,
W3,19-1_12,question,likert_4,keep,
W3,19-2,question,binary_01,keep,
W3,19-2_1,question,likert_4,keep,
W3,19-2_2,question,likert_4,keep,
W3,19-2_3,question,likert_4,keep,
W3,19-2_4,question,likert_4,keep,
W3,19-2_5,question,likert_4,keep,
W3,19-2_6,question,likert_4,keep,
W3,19-2_7,question,likert_4,keep,
W3,19-2_8,question,likert_4,keep,
W3,19-2_9,question,likert_4,keep,
W3,19-2_10,question,likert_4,keep,
W3,19-2_11,question,likert_4,keep,
W3,19-2_12,question,likert_4,keep,
W3,____小時,aux,time_part_numeric,keep,
W3,____分鐘,aux,time_part_numeric,keep,
W3,21-1,question,numeric,keep,
W3,21-2,question,numeric,keep,
W3,21-3,question,numeric,keep,
W3,21-4,question,numeric,keep,
W3,21-5,question,numeric,keep,
W3,21-6,question,numeric,keep,
W3,____小時.1,aux,time_part_numeric,keep,
W3,____分鐘.1,aux,time_part_numeric,keep,
W3,____小時.2,aux,time_part_numeric,keep,
W3,____分鐘.2,aux,time_part_numeric,keep,
W3,23-1,question,ordinal_numeric,keep,
W3,23-2,question,ordinal_numeric,keep,
W3,23-3,question,ordinal_numeric,keep,
W3,23-4,question,ordinal_numeric,keep,
W3,23-5,question,ordinal_numeric,keep,
W3,23-6,question,ordinal_numeric,keep,
W3,23-7,question,ordinal_numeric,keep,
W3,23-8,question,ordinal_numeric,keep,
W3,23-9,question,ordinal_numeric,keep,
W3,24-1,question,likert_4,keep,
W3,24-2,question,likert_4,keep,
W3,24-3,question,likert_4,keep,
W3,24-4,question,likert_4,keep,
W3,24-5,question,likert_4,keep,
W3,24-6,question,likert_4,keep,
W3,24-7,question,likert_4,keep,
W3,25-0,question,binary_01,keep,
W3,25-1,question,ordinal_numeric,keep,
W3,25-2,question,ordinal_numeric,keep,
W3,25-3,question,ordinal_numeric,keep,
W3,25-4,question,ordinal_numeric,keep,
W3,25-5,question,ordinal_numeric,keep,
W3,25-6,question,ordinal_numeric,keep,
W3,25-7,question,ordinal_numeric,keep,
W3,25-8,question,ordinal_numeric,keep,
W3,25-9,question,ordinal_numeric,keep,
W3,26-1,question,likert_4,keep,
W3,26-2,question,likert_4,keep,
W3,26-3,question,likert_4,keep,
W3,26-4,question,likert_4,keep,
W3,26-5,question,likert_4,keep,
W3,26-6,question,likert_4,keep,
W3,26-7,question,likert_4,keep,
W3,26-8,question,likert_4,keep,
W3,26-9,question,likert_4,keep,
W3,26-10,question,likert_4,keep,
W3,26-11,question,likert_4,keep,
W3,26-12,question,likert_4,keep,
W3,26-13,question,likert_4,keep,
W3,26-14,question,likert_4,keep,
W3,26-15,question,likert_4,keep,
W3,27-1,question,likert_4,keep,
W3,27-2,question,likert_4,keep,
W3,27-3,question,likert_4,keep,
W3,27-4,question,likert_4,keep,
W3,27-5,question,likert_4,keep,
W3,27-6,question,likert_4,keep,
W3,28-1,question,likert_4,keep,
W3,28-2,question,likert_4,keep,
W3,28-3,question,likert_4,keep,
W3,28-4,question,likert_4,keep,
W3,29-1,question,likert_4,keep,
W3,29-2,question,likert_4,keep,
W3,29-3,question,likert_4,keep,
W3,29-4,question,likert_4,keep,
W3,29-5,question,likert_4,keep,
W3,29-6,question,likert_4,keep,
W3,29-7,question,likert_4,keep,
W3,29-8,question,likert_4,keep,
W3,29-9,question,likert_4,keep,
W3,29-10,question,likert_4,keep,
W3,30,question,binary_01,keep,
W3,31-1,question,likert_4,keep,
W3,31-2,question,likert_4,keep,
W3,31-3,question,likert_4,keep,
W3,31-4,question,likert_4,keep,
W3,31-5,question,likert_4,keep,
W3,31-6,question,likert_4,keep,
W3,31-7,question,likert_4,keep,
W3,31-8,question,likert_4,keep,
W3,32,question,binary_01,keep,
W3,33-1,question,likert_4,keep,
W3,33-2,question,likert_4,keep,
W3,33-3,question,likert_4,keep,
W3,33-4,question,likert_4,keep,
W3,33-5,question,likert_4,keep,
W3,33-6,question,likert_4,keep,
W3,33-7,question,likert_4,keep,
W3,33-8,question,likert_4,keep,
W3,34,question,binary_01,keep,
W3,35-1,question,likert_4,keep,
W3,35-2,question,likert_4,keep,
W3,35-3,question,likert_4,keep,
W3,35-4,question,likert_4,keep,
W3,35-5,question,likert_4,keep,
W3,35-6,question,likert_4,keep,
W3,35-7,question,likert_4,keep,
W3,36,question,binary_01,keep,
W3,37-1,question,likert_4,keep,
W3,37-2,question,likert_4,keep,
W3,37-3,question,likert_4,keep,
W3,37-4,question,likert_4,keep,
W3,37-5,question,likert_4,keep,
W3,37-6,question,likert_4,keep,
W3,37-7,question,likert_4,keep,
W3,38-1,question,ordinal_numeric,keep,
W3,38-2,question,ordinal_numeric,keep,
W3,38-3,question,ordinal_numeric,keep,
W3,38-4,question,ordinal_numeric,keep,
W3,38-5,question,ordinal_numeric,keep,
W3,38-6,question,ordinal_numeric,keep,
W3,38-7,question,ordinal_numeric,keep,
W3,38-8,question,ordinal_numeric,keep,
W3,38-9,question,ordinal_numeric,keep,
W3,38-10,question,ordinal_numeric,keep,
W3,39,question,binary_01,keep,
W3,39_1,question,binary_01,keep,
W3,39_2,question,binary_01,keep,
W3,39_3,question,binary_01,keep,
W3,39_4,question,binary_01,keep,
W3,39_5,question,binary_01,keep,
W3,39_6,question,binary_01,keep,
W3,39_7,question,binary_01,keep,
W3,39_8,question,binary_01,keep,
W3,39_9,question,binary_01,keep,
W3,39_10,question,binary_01,keep,
W3,39_11,question,binary_01,keep,
W3,39_12,question,binary_01,keep,
W3,39_13,question,binary_01,keep,
W3,40-1,question,likert_5,keep,
W3,40-2,question,likert_5,keep,
W3,40-3,question,likert_5,keep,
W3,40-4,question,likert_5,keep,
W3,40-5,question,likert_5,keep,
W3,40-6,question,likert_5,keep,
W3,40-7,question,likert_5,keep,
W3,40-8,question,likert_5,keep,
W3,40-9,question,likert_5,keep,
W3,41-1,question,binary_01,keep,
W3,41,question,likert_5,keep,
W3,42,question,binary_01,keep,
W3,42_1,question,binary_01,keep,
W3,42_2,question,binary_01,keep,
W3,42_3,question,binary_01,keep,
W3,42_4,question,binary_01,keep,
W3,42_5,question,binary_01,keep,
W3,42_6,question,binary_01,keep,
W3,其他.4,aux,text_other,keep,
W3,43-1,question,ordinal_numeric,keep,
W3,43-2,question,ordinal_numeric,keep,
W3,43-3,question,ordinal_numeric,keep,
W3,43-4,question,ordinal_numeric,keep,
W3,44-1,question,likert_4,keep,
W3,44-2,question,likert_4,keep,
W3,44-3,question,likert_4,keep,
W3,44-4,question,likert_4,keep,
W3,44-5,question,likert_4,keep,
W3,44-6,question,likert_4,keep,
W3,44-7,question,likert_4,keep,
W3,44-8,question,likert_4,keep,
W3,44-9,question,likert_4,keep,
W3,44-10,question,likert_4,keep,
W3,44-11,question,likert_4,keep,
W3,45,question,binary_01,keep,
W3,46-1,question,ordinal_numeric,keep,
W3,46-2,question,ordinal_numeric,keep,
W3,46-3,question,ordinal_numeric,keep,
W3,46-4,question,ordinal_numeric,keep,
W3,46-5,question,ordinal_numeric,keep,
W3,46-6,question,ordinal_numeric,keep,
W3,46-7,question,ordinal_numeric,keep,
W3,47,question,binary_01,keep,
W3,47_1,question,binary_01,keep,
W3,47_2,question,binary_01,keep,
W3,47_3,question,binary_01,keep,
W3,47_4,question,binary_01,keep,
W3,47_5,question,binary_01,keep,
W3,47_6,question,binary_01,keep,
W3,47_7,question,binary_01,keep,
W3,48,question,likert_4,keep,
W3,49,question,likert_4,keep,
W3,50,question,likert_4,keep,
W3,51,question,likert_4,keep,
W3,52-1,question,likert_4,keep,
W3,52-2,question,likert_4,keep,
W3,52-3,question,likert_4,keep,
W3,53-1,question,likert_4,keep,
W3,53-2,question,likert_4,keep,
W3,53-3,question,likert_4,keep,
W3,53-4,question,likert_4,keep,
W3,53-5,question,likert_4,keep,
W3,53-6,question,likert_4,keep,
W3,53-7,question,likert_4,keep,
W3,53-8,question,likert_4,keep,
W3,53-9,question,likert_4,keep,
W3,53-10,question,likert_4,keep,
W3,53-11,question,likert_4,keep,
W3,53-12,question,likert_4,keep,
W3,53-13,question,likert_4,keep,
W3,53-14,question,likert_4,keep,
W3,53-15,question,likert_4,keep,
W3,53-16,question,likert_4,keep,
W3,53-17,question,likert_4,keep,
W3,53-18,question,likert_4,keep,
W3,53-19,question,likert_4,keep,
W3,53-20,question,likert_4,keep,
W3,54-1,question,likert_5,keep,
W3,54-2,question,likert_5,keep,
W3,54-3,question,likert_5,keep,
W3,54-4,question,likert_5,keep,
W3,54-5,question,likert_5,keep,
W3,54-6,question,likert_5,keep,
W3,54-7,question,likert_5,keep,
W3,54-8,question,likert_5,keep,
W3,54-9,question,likert_5,keep,
W3,54-10,question,likert_5,keep,
W3,54-11,question,likert_5,keep,
W3,54-12,question,likert_5,keep,
W3,54-13,question,likert_5,keep,
W3,54-14,question,likert_5,keep,
W3,55-1,question,likert_5,keep,
W3,55-2,question,likert_5,keep,
W3,55-3,question,likert_5,keep,
W3,55-4,question,likert_5,keep,
W3,55-5,question,likert_5,keep,
W3,上午_______點,aux,time_part_numeric,keep,
W3,_______分,aux,time_part_numeric,keep,
W3,下午_______點,aux,time_part_numeric,keep,
W3,_______分.1,aux,time_part_numeric,keep,
W3,58-1,question,empty,keep,
W3,_______點_______分,aux,time_part_numeric,keep,
W3,_______分.2,aux,time_part_numeric,keep,
W3,58-2,question,empty,keep,
W3,_______點_______分.1,aux,time_part_numeric,keep,
W3,_______分.3,aux,time_part_numeric,keep,
W3,58-3,question,empty,keep,
W3,_______點_______分.2,aux,time_part_numeric,keep,
W3,_______分.4,aux,time_part_numeric,keep,
W3,58-4,question,empty,keep,
W3,_______點_______分.3,aux,time_part_numeric,keep,
W3,_______分.5,aux,time_part_numeric,keep,
W3,58-5,question,likert_4,keep,
W3,59,question,ordinal_numeric,keep,
W3,60-1,question,likert_4,keep,
W3,60-2,question,likert_4,keep,
W3,60-3,question,likert_4,keep,
W3,60-4,question,likert_4,keep,
W3,60-5,question,likert_4,keep,
W3,61-1,question,likert_4,keep,
W3,61-2,question,likert_4,keep,
W3,61-3,question,likert_4,keep,
W3,61-4,question,likert_4,keep,
W3,61-5,question,likert_4,keep,
W3,61-6,question,likert_4,keep,
W3,61-7,question,likert_4,keep,
W3,61-8,question,likert_4,keep,
W3,61-9,question,likert_4,keep,
W3,62-1,question,ordinal_numeric,keep,
W3,62-2,question,ordinal_numeric,keep,
W3,62-3,question,ordinal_numeric,keep,
W3,63,question,ordinal_numeric,keep,
W3,64,question,numeric,keep,
W3,65,question,numeric,keep,
W3,66,question,ordinal_numeric,keep,
