scenario,model_type,feature,coef_abs,relative_importance_pct,coef_direction
w2_predict_w2,lasso,v6_9,0.004881458881411971,0.08479997480542543,negative
w2_predict_w2,lasso,v28_9,0.0036238435855778166,0.0629528696689367,negative
w2_predict_w2,lasso,v23_3,0.0031800101025229698,0.055242660672980025,negative
w2_predict_w2,lasso,v54_16,0.002828537616456934,0.04913693312569012,negative
w2_predict_w2,lasso,v28_8,0.0019553505599980256,0.03396805796214045,negative
w2_predict_w2,lasso,v28_3,0.0019289041087163514,0.03350863415936733,negative
w2_predict_w2,lasso,v42_04,0.0007498333620810686,0.013025993203562484,positive
w2_predict_w2,lasso,v42_11,0.0,0.0,positive
w2_predict_w2,lasso,v42_02,0.0,0.0,positive
w2_predict_w2,lasso,v27_1,0.0,0.0,positive
w2_predict_w2,lasso,v42_06,0.0,0.0,positive
w2_predict_w2,lasso,v42_05,0.0,0.0,positive
w2_predict_w2,lasso,v25_5,0.0,0.0,positive
w2_predict_w2,lasso,v25_1,0.0,0.0,positive
w2_predict_w2,lasso,v25_2,0.0,0.0,positive
w2_predict_w2,lasso,v5_1,0.0,0.0,positive
w2_predict_w2,lasso,v5_2,0.0,0.0,positive
w2_predict_w2,lasso,v5_4,0.0,0.0,positive
w2_predict_w2,lasso,v5_6,0.0,0.0,positive
w2_predict_w2,lasso,v28_2,0.0,0.0,positive
w2_predict_w2,lasso,v6_7,0.0,0.0,positive
w2_predict_w2,lasso,v42_10,0.0,0.0,positive
w2_predict_w2,lasso,v42_08,0.0,0.0,positive
w2_predict_w2,lasso,v42_07,0.0,0.0,positive
w2_predict_w2,lasso,v42_12,0.0,0.0,positive
w2_predict_w2,lasso,v6_2,0.0,0.0,positive
w2_predict_w2,lasso,v6_4,0.0,0.0,positive
w2_predict_w2,lasso,v6_5,0.0,0.0,positive
w2_predict_w2,lasso,v26_1,0.0,0.0,positive
w2_predict_w2,lasso,v23_7,0.0,0.0,positive
w2_predict_w2,lasso,v23_1,0.0,0.0,positive
w2_predict_w2,lasso,v23_4,0.0,0.0,positive
w2_predict_w2,lasso,v25_15,0.0,0.0,positive
w2_predict_w2,lasso,v19_2,0.0,0.0,positive
w2_predict_w2,lasso,v19_4,0.0,0.0,positive
w2_predict_w2,lasso,v19_5,0.0,0.0,positive
w2_predict_w2,lasso,v25_12,0.0,0.0,positive
w2_predict_w2,lasso,v26_6,0.0,0.0,positive
w2_predict_w2,lasso,v54_7,0.0,0.0,positive
w2_predict_w2,lasso,v54_15,0.0,0.0,positive
w2_predict_w2,lasso,v54_13,0.0,0.0,positive
w2_predict_w2,lasso,v22_2,0.0,0.0,positive
w2_predict_w2,lasso,v22_3,0.0,0.0,positive
w2_predict_w2,lasso,v22_6,0.0,0.0,positive
w3_predict_w3,ridge,51,0.5117131205205864,7.653835471331837,negative
w3_predict_w3,ridge,53-4,0.1984358509398604,2.968060215384528,negative
w3_predict_w3,ridge,1,0.17431723510985828,2.6073113700719537,positive
w3_predict_w3,ridge,30,0.1630566489979218,2.4388836515803014,positive
w3_predict_w3,ridge,53-12,0.15849327297487434,2.370627967147796,negative
w3_predict_w3,ridge,27-2,0.15073378985305175,2.2545672198748186,positive
w3_predict_w3,ridge,5-1,0.14609490169013709,2.1851820793633996,positive
w3_predict_w3,ridge,5-6,0.14440532103142367,2.159910551511659,positive
w3_predict_w3,ridge,53-5,0.14146981328099742,2.1160033456074516,negative
w3_predict_w3,ridge,53-2,0.13879100137429767,2.075935610835152,positive
w3_predict_w3,ridge,53-14,0.1251648399120426,1.8721253238684983,positive
w3_predict_w3,ridge,59,0.11176239961877743,1.671661296652152,positive
w3_predict_w3,ridge,53-8,0.11062556073857828,1.6546572813210516,negative
w3_predict_w3,ridge,39_13,0.10256179429515803,1.534045283773683,negative
w3_predict_w3,ridge,26-13,0.1004102410497774,1.50186390345027,positive
w3_predict_w3,ridge,24-1,0.09942776590577063,1.4871687494560737,positive
w3_predict_w3,ridge,32,0.09782366206014273,1.4631757220721437,positive
w3_predict_w3,ridge,24-7,0.09751606837932827,1.4585749578342049,positive
w3_predict_w3,ridge,48,0.09741379484328927,1.4570452241093446,negative
w3_predict_w3,ridge,25-2,0.0968854279213098,1.4491422930975097,positive
w3_predict_w3,ridge,29-6,0.09638235852786434,1.4416177442562037,positive
w3_predict_w3,ridge,39_1,0.09094301521177274,1.3602599733804055,positive
w3_predict_w3,ridge,53-17,0.09040292156627114,1.3521816425031834,positive
w3_predict_w3,ridge,24-2,0.08795271499790623,1.3155332213605657,negative
w3_predict_w3,ridge,53-6,0.08631417354426624,1.2910251010951348,negative
w3_predict_w3,ridge,34,0.08550733582089728,1.278957004853148,positive
w3_predict_w3,ridge,26-11,0.08516189868465582,1.273790205526622,positive
w3_predict_w3,ridge,29-3,0.08440270213410854,1.2624346915574278,positive
