scenario,model_type,feature,shap_abs_mean,coef,coef_abs,relative_importance_pct,coef_direction
w2_predict_w2,lasso,v26_2,0.04948835026557821,0.059295149282932676,0.059295149282932676,1.0300664795976335,positive
w2_predict_w2,lasso,v19_7,0.04877163125157508,-0.05496665075063841,0.05496665075063841,0.9548724494109645,negative
w2_predict_w2,lasso,v27_3,0.046790758114589624,-0.05962405289595559,0.05962405289595559,1.035780144052324,negative
w2_predict_w2,lasso,v23_5,0.04660631925778412,-0.05125944571496592,0.05125944571496592,0.890471437078225,negative
w2_predict_w2,lasso,v26_3,0.04608929463975389,-0.059439000993028505,0.059439000993028505,1.032565450025981,negative
w2_predict_w2,lasso,v28_4,0.0443418368788778,0.0524088376791026,0.0524088376791026,0.9104385026559967,positive
w2_predict_w2,lasso,v28_10,0.04433857207861479,0.052533010809599774,0.052533010809599774,0.9125956197378937,positive
w2_predict_w2,lasso,v54_14,0.04245110055200287,0.04954630025068571,0.04954630025068571,0.8607109298736719,positive
w2_predict_w2,lasso,v25_9,0.039194528398306436,-0.04721999636861653,0.04721999636861653,0.8202987261899714,negative
w2_predict_w2,lasso,v54_19,0.036017287951661626,0.04123711004969093,0.04123711004969093,0.7163649184013736,positive
w2_predict_w2,lasso,v23_6,0.03585501522656525,-0.042638946369294,0.042638946369294,0.7407174096281942,negative
w2_predict_w2,lasso,v28_1,0.03577315985541507,0.04817833961931426,0.04817833961931426,0.8369469220446111,positive
w2_predict_w2,lasso,v25_10,0.03477335494113358,0.042121635072001444,0.042121635072001444,0.7317307550147516,positive
w2_predict_w2,lasso,v27_4,0.03223960011013936,-0.04017643491095593,0.04017643491095593,0.697939028267592,negative
w2_predict_w2,lasso,v54_17,0.032040120887781715,0.0387069324998457,0.0387069324998457,0.6724110518027744,positive
w2_predict_w2,lasso,v40,0.029110968903737825,0.0721469552964023,0.0721469552964023,1.2533261346766502,positive
w2_predict_w2,lasso,v19_6,0.027855412161812986,-0.03320543016207727,0.03320543016207727,0.5768397746562571,negative
w2_predict_w2,lasso,v25_14,0.027390723010632168,0.033073530656011624,0.033073530656011624,0.5745484361316602,positive
w2_predict_w2,lasso,v2,0.027160295008007332,-0.03901266413951952,0.03901266413951952,0.677722176196403,negative
w2_predict_w2,lasso,v23_2,0.026651956449923547,0.02933249954827397,0.02933249954827397,0.509559802325796,positive
w2_predict_w2,lasso,v27_2,0.026337331446686218,0.03395667672790752,0.03395667672790752,0.5898903178243357,positive
w2_predict_w2,lasso,v5_3,0.025141066070083696,-0.03463345705597119,0.03463345705597119,0.6016472446289729,negative
w2_predict_w2,lasso,v6_8,0.025036494238151363,0.030287542830715393,0.030287542830715393,0.5261506716246269,positive
w2_predict_w2,lasso,v25_8,0.024727009723568876,-0.03066911395586502,0.03066911395586502,0.532779268235853,negative
w2_predict_w2,lasso,v42_13,0.021980757984399767,0.04584294930663665,0.04584294930663665,0.796376870245135,positive
w2_predict_w2,lasso,v6_3,0.021801781903354134,-0.025562951713277552,0.025562951713277552,0.4440757801920112,negative
w2_predict_w2,lasso,v19_8,0.020674077376898973,0.025502501348697696,0.025502501348697696,0.4430256454847682,positive
w2_predict_w2,lasso,v3,0.02048498901455818,-0.027375485688621765,0.027375485688621765,0.47556284977042135,negative
w2_predict_w2,lasso,v36,0.018347844872247204,0.024680690432417555,0.024680690432417555,0.4287492689570975,positive
w2_predict_w2,lasso,v23_9,0.01796265635179229,0.02127714038112794,0.02127714038112794,0.36962330567235097,positive
w2_predict_w2,lasso,v28_5,0.017755678397385292,-0.021400189504436947,0.021400189504436947,0.37176089666920786,negative
w2_predict_w2,lasso,v42_09,0.01709275782237548,0.030513479800919313,0.030513479800919313,0.5300756149348869,positive
w2_predict_w2,lasso,v25_4,0.016114023242807383,-0.02161343165615007,0.02161343165615007,0.3754653074881918,negative
w2_predict_w2,lasso,v22_5,0.013403150394202406,-0.015709759498591578,0.015709759498591578,0.2729075962828803,negative
w2_predict_w2,lasso,v42_03,0.013369785485318381,-0.055964895125740724,0.055964895125740724,0.9722138016408637,negative
w2_predict_w2,lasso,v25_3,0.013176227312451938,0.015570290919325071,0.015570290919325071,0.2704847689488257,positive
w2_predict_w2,lasso,v19_1,0.01255515064198657,0.014253284227649656,0.014253284227649656,0.24760592535189932,positive
w2_predict_w2,lasso,v25_7,0.011979617049509962,0.014263680866597909,0.014263680866597909,0.2477865342113184,positive
w2_predict_w2,lasso,v54_11,0.009181619415323106,-0.013374207737306033,0.013374207737306033,0.2323347398222942,negative
w2_predict_w2,lasso,v42_01,0.0076036241547133895,-0.014394855313003227,0.014394855313003227,0.25006527710775944,negative
w2_predict_w2,lasso,v25_11,0.0074772791212271966,0.008862121406201507,0.008862121406201507,0.1539514498073851,positive
w2_predict_w2,lasso,v54_9,0.007254249424208616,0.010354348474006703,0.010354348474006703,0.1798741956151409,positive
w2_predict_w2,lasso,v6_10,0.005138093850504149,0.006799151970937496,0.006799151970937496,0.11811385281340012,positive
w2_predict_w2,lasso,v6_9,0.004103633079527871,-0.004881458881411971,0.004881458881411971,0.08479997480542543,negative
w2_predict_w2,lasso,v28_9,0.0029393225701517672,-0.0036238435855778166,0.0036238435855778166,0.0629528696689367,negative
w2_predict_w2,lasso,v23_3,0.002624159488805203,-0.0031800101025229698,0.0031800101025229698,0.055242660672980025,negative
w2_predict_w2,lasso,v54_16,0.0022142204753453675,-0.002828537616456934,0.002828537616456934,0.04913693312569012,negative
w2_predict_w2,lasso,v28_8,0.0016265726284105113,-0.0019553505599980256,0.0019553505599980256,0.03396805796214045,negative
w2_predict_w2,lasso,v28_3,0.0014068835532032157,-0.0019289041087163514,0.0019289041087163514,0.03350863415936733,negative
w2_predict_w2,lasso,v42_04,0.00036795241412153687,0.0007498333620810686,0.0007498333620810686,0.013025993203562484,positive
w2_predict_w2,lasso,v42_11,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v42_02,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v27_1,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v42_06,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v42_05,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v25_5,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v25_1,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v25_2,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v5_1,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v5_2,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v5_4,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v5_6,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v28_2,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v6_7,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v42_10,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v42_08,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v42_07,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v42_12,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v6_2,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v6_4,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v6_5,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v26_1,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v23_7,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v23_1,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v23_4,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v25_15,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v19_2,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v19_4,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v19_5,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v25_12,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v26_6,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v54_7,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v54_15,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v54_13,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v22_2,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v22_3,0.0,0.0,0.0,0.0,positive
w2_predict_w2,lasso,v22_6,0.0,0.0,0.0,0.0,positive
w3_predict_w3,ridge,51,0.4245685458572141,-0.5117131205205864,0.5117131205205864,7.653835471331837,negative
w3_predict_w3,ridge,1,0.17445754225485458,0.17431723510985828,0.17431723510985828,2.6073113700719537,positive
w3_predict_w3,ridge,53-4,0.15030451514978455,-0.1984358509398604,0.1984358509398604,2.968060215384528,negative
w3_predict_w3,ridge,30,0.14045879434807756,0.1630566489979218,0.1630566489979218,2.4388836515803014,positive
w3_predict_w3,ridge,27-2,0.13189962338880235,0.15073378985305175,0.15073378985305175,2.2545672198748186,positive
w3_predict_w3,ridge,53-12,0.1290066998217,-0.15849327297487434,0.15849327297487434,2.370627967147796,negative
w3_predict_w3,ridge,5-1,0.11581028245763576,0.14609490169013709,0.14609490169013709,2.1851820793633996,positive
w3_predict_w3,ridge,53-2,0.11553878175714215,0.13879100137429767,0.13879100137429767,2.075935610835152,positive
w3_predict_w3,ridge,5-6,0.11304092785063184,0.14440532103142367,0.14440532103142367,2.159910551511659,positive
w3_predict_w3,ridge,53-5,0.10021882653553221,-0.14146981328099742,0.14146981328099742,2.1160033456074516,negative
w3_predict_w3,ridge,53-14,0.09774512676494028,0.1251648399120426,0.1251648399120426,1.8721253238684983,positive
w3_predict_w3,ridge,24-1,0.0889479795173236,0.09942776590577063,0.09942776590577063,1.4871687494560737,positive
w3_predict_w3,ridge,59,0.08498052007802077,0.11176239961877743,0.11176239961877743,1.671661296652152,positive
w3_predict_w3,ridge,24-7,0.0841284889134017,0.09751606837932827,0.09751606837932827,1.4585749578342049,positive
w3_predict_w3,ridge,53-8,0.08345273748529695,-0.11062556073857828,0.11062556073857828,1.6546572813210516,negative
