scenario,mode,mode_label,seed,best_epoch,n_train,n_val,n_test,test_accuracy,test_f1,test_precision,test_recall,test_auc
w2_predict_w3,offline_friend_only,offline_friend only,42,5,4027,1343,1343,0.655994043186895,0.6515837104072398,0.671850699844479,0.6325036603221084,0.7005612493899463
w2_predict_w3,offline_friend_only,offline_friend only,52,4,4027,1343,1343,0.6381236038719286,0.6421207658321061,0.6459259259259259,0.6383601756954612,0.6973290740494255
w2_predict_w3,offline_friend_only,offline_friend only,62,5,4027,1343,1343,0.676842889054356,0.6736842105263158,0.6924265842349304,0.6559297218155198,0.7287945339189847
w2_predict_w3,offline_friend_only,offline_friend only,72,6,4027,1343,1343,0.6664184661206255,0.6691285081240768,0.6751117734724292,0.6632503660322109,0.7334708727095256
w2_predict_w3,offline_friend_only,offline_friend only,82,5,4027,1343,1343,0.6351451973194341,0.631578947368421,0.6491499227202473,0.6149341142020498,0.6984138604197169
w2_predict_w3,offline_only,offline only,42,5,4027,1343,1343,0.6515264333581534,0.6377708978328174,0.6765188834154351,0.6032210834553441,0.7053374151470784
w2_predict_w3,offline_only,offline only,52,9,4027,1343,1343,0.6358897989575577,0.6348020911127707,0.6478658536585366,0.6222547584187409,0.6994786813966901
w2_predict_w3,offline_only,offline only,62,5,4027,1343,1343,0.6649292628443783,0.6748554913294798,0.666191155492154,0.6837481698389458,0.7328097963529883
w2_predict_w3,offline_only,offline only,72,9,4027,1343,1343,0.6790766939687267,0.6771535580524345,0.6932515337423313,0.6617862371888726,0.7368871733439816
w2_predict_w3,offline_only,offline only,82,5,4027,1343,1343,0.6388682055100521,0.6322971948445792,0.6556603773584906,0.6105417276720352,0.6975398198677847
w2_predict_w3,online_enemy_only,online_enemy only,42,6,4027,1343,1343,0.6388682055100521,0.6322971948445792,0.6556603773584906,0.6105417276720352,0.6808531878077999
w2_predict_w3,online_enemy_only,online_enemy only,52,4,4027,1343,1343,0.6448250186150409,0.653090909090909,0.6488439306358381,0.657393850658858,0.6980123341763166
w2_predict_w3,online_enemy_only,online_enemy only,62,5,4027,1343,1343,0.6574832464631423,0.6612665684830633,0.6651851851851852,0.657393850658858,0.7296042415368916
w2_predict_w3,online_enemy_only,online_enemy only,72,7,4027,1343,1343,0.6515264333581534,0.6528189910979229,0.6616541353383458,0.6442166910688141,0.7036292648298504
w2_predict_w3,online_enemy_only,online_enemy only,82,5,4027,1343,1343,0.6485480268056589,0.6498516320474778,0.6586466165413534,0.6412884333821376,0.7011114068947158
w2_predict_w3,online_friend_only,online_friend only,42,5,4027,1343,1343,0.6671630677587491,0.6605922551252847,0.6861198738170347,0.636896046852123,0.7097874794800124
w2_predict_w3,online_friend_only,online_friend only,52,4,4027,1343,1343,0.6463142218912882,0.6555474981870921,0.6494252873563219,0.6617862371888726,0.7060339855361818
w2_predict_w3,online_friend_only,online_friend only,62,5,4027,1343,1343,0.6671630677587491,0.6696230598669624,0.6761194029850747,0.6632503660322109,0.7215648431607437
w2_predict_w3,online_friend_only,online_friend only,72,7,4027,1343,1343,0.663440059568131,0.6651851851851852,0.6731634182908546,0.657393850658858,0.7267003859976042
w2_predict_w3,online_friend_only,online_friend only,82,6,4027,1343,1343,0.6381236038719286,0.6378539493293591,0.6494688922610015,0.6266471449487555,0.7013753937619238
w2_predict_w3,online_only,online only,42,5,4027,1343,1343,0.6537602382725242,0.6442234123947972,0.6746794871794872,0.616398243045388,0.7040729402369227
