student_id,class_before,class_after,class_changed,conversion_stage,class_original
s112201304050,二年1班,201,,grade_year_class_pattern,二年1班
s112201304051,二年1班,201,,grade_year_class_pattern,二年1班
s112201304053,二年1班,201,,grade_year_class_pattern,二年1班
s112201304055,二年1班,201,,grade_year_class_pattern,二年1班
s112201304056,二年1班,201,,grade_year_class_pattern,二年1班
s112201304057,二年1班,201,,grade_year_class_pattern,二年1班
s112201304024,二年3班,203,,grade_year_class_pattern,二年3班
s112201304060,二年3班,203,,grade_year_class_pattern,二年3班
s112201304061,二年3班,203,,grade_year_class_pattern,二年3班
s112201304062,二年3班,203,,grade_year_class_pattern,二年3班
s112201304064,二年3班,203,,grade_year_class_pattern,二年3班
s112201304066,二年3班,203,,grade_year_class_pattern,二年3班
s112201304069,二年3班,203,,grade_year_class_pattern,二年3班
s112201304070,二年3班,203,,grade_year_class_pattern,二年3班
s112201304071,二年3班,203,,grade_year_class_pattern,二年3班
s112201304073,二年3班,203,,grade_year_class_pattern,二年3班
s112201304078,二年3班,203,,grade_year_class_pattern,二年3班
s112201304079,二年3班,203,,grade_year_class_pattern,二年3班
s112201304081,二年3班,203,,grade_year_class_pattern,二年3班
s112201304082,二年3班,203,,grade_year_class_pattern,二年3班
s112201304085,二年3班,203,,grade_year_class_pattern,二年3班
s112201310025,國二1,201,,nation_grade_class_pattern,國二1
s112201310026,國二1,201,,nation_grade_class_pattern,國二1
s112201310030,國二1,201,,nation_grade_class_pattern,國二1
s112201310037,國二1,201,,nation_grade_class_pattern,國二1
s112201310040,國二1,201,,nation_grade_class_pattern,國二1
s112201310041,國二1,201,,nation_grade_class_pattern,國二1
s112201310044,國二1,201,,nation_grade_class_pattern,國二1
s112201310045,國二1,201,,nation_grade_class_pattern,國二1
s112201310046,國二1,201,,nation_grade_class_pattern,國二1
s112201310047,國二1,201,,nation_grade_class_pattern,國二1
s112201310049,國二1,201,,nation_grade_class_pattern,國二1
s112201310050,國二1,201,,nation_grade_class_pattern,國二1
s112201310051,國二1,201,,nation_grade_class_pattern,國二1
s112201310052,國二1,201,,nation_grade_class_pattern,國二1
s112201310053,國二1,201,,nation_grade_class_pattern,國二1
s112201310056,國二1,201,,nation_grade_class_pattern,國二1
s112201310060,國二1,201,,nation_grade_class_pattern,國二1
s112201310062,國二1,201,,nation_grade_class_pattern,國二1
