scenario,setting,feature_year,target_year,target_group_id,target_median_cutoff,target_positive_rate,n_base_features_drop,n_group_features_added,group_features_added,n_rows_modeling,n_train,n_test,n_features_requested,n_features_used,dropped_all_missing_feature_cols,c_selected,train_accuracy,train_f1,train_auc,test_accuracy,test_f1,test_auc,cv5_accuracy_mean,cv5_accuracy_std,cv5_f1_mean,cv5_f1_std,cv5_auc_mean,cv5_auc_std
w3_self,drop_plus_A,W3,W3,54,21.0,0.526124488868696,119,8,ip_out_online_friend;ip_in_online_friend;ip_out_online_enemy;ip_in_online_enemy;ip_out_offline_friend;ip_in_offline_friend;ip_out_offline_enemy;ip_in_offline_enemy,6603,5282,1321,127,127,[],0.003981071705534973,0.7065505490344567,0.7212230215827338,0.7845028570968526,0.691900075700227,0.700955180014695,0.7652170915025168,0.6930214713371413,0.012251016649275158,0.7091003331426255,0.00979894164428053,0.765013802236468,0.015489551453871387
w3_self,drop_plus_B,W3,W3,54,21.0,0.526124488868696,119,4,ip_out_friend_total;ip_out_enemy_total;ip_in_friend_total;ip_in_enemy_total,6603,5282,1321,123,123,[],0.003981071705534973,0.7065505490344567,0.7211227060093559,0.784358517889364,0.6949280847842544,0.7038941954445261,0.7652883444043488,0.6925676140664786,0.013852479745433502,0.708800547356407,0.011622777472378169,0.7653804782596513,0.015705301414357657
w3_self,drop_plus_C,W3,W3,54,21.0,0.526124488868696,119,4,ip_out_friend_online_minus_offline;ip_out_enemy_online_minus_offline;ip_in_friend_online_minus_offline;ip_in_enemy_online_minus_offline,6603,5282,1321,123,123,[],0.003981071705534973,0.7069291934873154,0.7214825476790212,0.7844475078987618,0.6926570779712339,0.7019089574155654,0.7655917438573102,0.6933238134562888,0.010795957805032376,0.7092777896589185,0.009031931764046909,0.7654404017579999,0.01499289669054877
w3_self,drop_plus_D1,W3,W3,54,21.0,0.526124488868696,119,1,ip_reciprocal_friend_count,6603,5282,1321,120,120,[],0.003981071705534973,0.7076864823930329,0.7221022318214543,0.7842758535026051,0.6941710825132476,0.7033773861967695,0.7661732594754866,0.6924162136122772,0.013322531925059297,0.708443025620846,0.011105784736752927,0.7661517499925978,0.015504380677639512
w3_self,drop_plus_D2,W3,W3,54,21.0,0.526124488868696,119,1,ip_reciprocal_enemy_count,6603,5282,1321,120,120,[],0.003981071705534973,0.7059825823551685,0.7207336809926272,0.7842381872950732,0.6941710825132476,0.7033773861967695,0.7654998046291401,0.6922637808822516,0.011309049389564809,0.7085675311093198,0.009712747790885531,0.765998151483126,0.015530079699250743
w3_self,drop_plus_D3,W3,W3,54,21.0,0.526124488868696,119,1,ip_liked_by_me_but_enemy_to_me_count,6603,5282,1321,120,120,[],0.003981071705534973,0.7048466489965922,0.7194529422350189,0.7844112074506634,0.6903860711582135,0.6981549815498155,0.7650584963339232,0.6924158695203358,0.013433339762333671,0.7086753192190891,0.011839199185297201,0.7661567800200954,0.015625542612324475
w3_self,drop_plus_D4,W3,W3,54,21.0,0.526124488868696,119,1,ip_enemy_by_me_but_likes_me_count,6603,5282,1321,120,120,[],0.003981071705534973,0.7097690268837562,0.7246272678282738,0.7844450639081968,0.6949280847842544,0.7047619047619048,0.7653894775553359,0.6933241575482303,0.01199574898520296,0.709121465229175,0.010196427403003954,0.7662307648968874,0.015347726976581117
w3_self,drop_plus_D5,W3,W3,54,21.0,0.526124488868696,119,1,ip_same_target_friend_and_enemy_count,6603,5282,1321,120,120,[],0.003981071705534973,0.7080651268458917,0.7226618705035971,0.7847450278090187,0.6956850870552612,0.7052785923753666,0.7665318224653503,0.6928697267909986,0.011435881584499026,0.7087266414723705,0.009844654742068276,0.7667685314882252,0.015131578612061483
w2_predict_w3,baseline_drop,W2,W3,54,21.0,0.526124488868696,117,0,,6603,5282,1321,117,117,[],0.001,0.6472926921620599,0.6721801865212036,0.7085117865757924,0.6593489780469342,0.6830985915492958,0.7150941227848393,0.6415309797444544,0.014626723908744341,0.6659858253524444,0.01400096735168923,0.6983064176673281,0.016379308597143608
w2_predict_w3,drop_plus_A,W2,W3,54,21.0,0.526124488868696,117,8,ip_out_online_friend;ip_in_online_friend;ip_out_online_enemy;ip_in_online_enemy;ip_out_offline_friend;ip_in_offline_friend;ip_out_offline_enemy;ip_in_offline_enemy,6603,5282,1321,125,125,[],0.001,0.6480499810677773,0.672653636203557,0.7089683096369279,0.660105980317941,0.6835799859055673,0.7133013078355207,0.6395632326290919,0.01768626935389156,0.6633424969948288,0.01692721790160465,0.6968928976132828,0.016564093686119153
w2_predict_w3,drop_plus_B,W2,W3,54,21.0,0.526124488868696,117,4,ip_out_friend_total;ip_out_enemy_total;ip_in_friend_total;ip_in_enemy_total,6603,5282,1321,121,121,[],0.001,0.6471033699356304,0.6714839619316179,0.7087957926558659,0.6593489780469342,0.6822033898305084,0.7140161353345438,0.639411488082949,0.01622793625631457,0.6631606147225999,0.015407693201458501,0.6972920298627622,0.016538789484906405
w2_predict_w3,drop_plus_C,W2,W3,54,21.0,0.526124488868696,117,4,ip_out_friend_online_minus_offline;ip_out_enemy_online_minus_offline;ip_in_friend_online_minus_offline;ip_in_enemy_online_minus_offline,6603,5282,1321,121,121,[],0.001,0.645399469897766,0.6703045238514346,0.708736993118154,0.6608629825889477,0.6845070422535211,0.7136253936148206,0.6401681462620145,0.014807440690150882,0.6648527813936423,0.014244090321510717,0.6979966306164652,0.016473743728356492
w2_predict_w3,drop_plus_D1,W2,W3,54,21.0,0.526124488868696,117,1,ip_reciprocal_friend_count,6603,5282,1321,118,118,[],0.001,0.6472926921620599,0.6718337149903117,0.7085085518823975,0.6623769871309614,0.6863572433192686,0.7150297653251201,0.6412284082306792,0.01449175459267012,0.66492402614958,0.01440072553978558,0.697823411325045,0.01612609899205998
w2_predict_w3,drop_plus_D2,W2,W3,54,21.0,0.526124488868696,117,1,ip_reciprocal_enemy_count,6603,5282,1321,118,118,[],0.001,0.6471033699356304,0.6720619282195637,0.7085051015427763,0.6608629825889477,0.6849507735583685,0.7151538832831498,0.64062269171656,0.016123907625408305,0.6653227899445874,0.015467173882722045,0.6980147489047607,0.016772305237655705
w2_predict_w3,drop_plus_D3,W2,W3,54,21.0,0.526124488868696,117,1,ip_liked_by_me_but_enemy_to_me_count,6603,5282,1321,118,118,[],0.001,0.6497538811056418,0.673836389280677,0.7091194057595082,0.660105980317941,0.6849122807017544,0.7138184659939779,0.6430448695891542,0.01349107654952839,0.6669275041750603,0.013066127063496268,0.6984927756462258,0.016078875829077494
w2_predict_w3,drop_plus_D4,W2,W3,54,21.0,0.526124488868696,117,1,ip_enemy_by_me_but_likes_me_count,6603,5282,1321,118,118,[],0.001,0.6471033699356304,0.6720619282195637,0.7086824346228929,0.660105980317941,0.6844694307800422,0.7151699726480796,0.6401668845915629,0.012123544982042924,0.6650619523231271,0.011315415074581144,0.6982867570033614,0.01629856219889013
w2_predict_w3,drop_plus_D5,W2,W3,54,21.0,0.526124488868696,117,1,ip_same_target_friend_and_enemy_count,6603,5282,1321,118,118,[],0.001,0.6476713366149186,0.6724168280232353,0.7085849625285929,0.6578349735049205,0.6821378340365682,0.7150964212655435,0.6421366962585736,0.01470655943526465,0.6663742388380581,0.013863160628607795,0.6983500826240887,0.016407343721337724
