scenario,setting,feature_year,target_year,target_group_id,target_median_cutoff,target_positive_rate,n_base_features_drop,n_group_features_added,group_features_added,n_rows_modeling,n_train,n_test,n_features_requested,n_features_used,dropped_all_missing_feature_cols,c_selected,train_accuracy,train_f1,train_auc,test_accuracy,test_f1,test_auc,cv5_accuracy_mean,cv5_accuracy_std,cv5_f1_mean,cv5_f1_std,cv5_auc_mean,cv5_auc_std
w2_self,drop_plus_D4,W2,W2,v55,17.0,0.5415720127214902,117,1,ip_enemy_by_me_but_likes_me_count,6603,5282,1321,118,118,[],0.003981071705534973,0.7340022718667172,0.754585152838428,0.8108926451974675,0.7252081756245269,0.7491361437456807,0.8029379861063028,0.7204285091643153,0.010339882120872506,0.7425715379573639,0.011745675562435305,0.7970585854594935,0.014689662953609135
w2_self,drop_plus_D5,W2,W2,v55,17.0,0.5415720127214902,117,1,ip_same_target_friend_and_enemy_count,6603,5282,1321,118,118,[],0.003981071705534973,0.7345702385460053,0.7551519385260217,0.8105678049214312,0.7229371688115064,0.7475862068965518,0.8028341295668028,0.7189137017411051,0.009953964309064863,0.7406662989976315,0.011551825880684834,0.7966859960207843,0.015531552074933366
w3_self,baseline_drop,W3,W3,54,21.0,0.526124488868696,119,0,,6603,5282,1321,119,119,[],0.003981071705534973,0.706739871260886,0.7213527612880014,0.784241421988468,0.6941710825132476,0.7033773861967695,0.765734249660974,0.6918096942169615,0.012269827074079118,0.7081757297542041,0.010792368808425275,0.7662450163410057,0.01536736564976387
w3_self,drop_plus_A1,W3,W3,54,21.0,0.526124488868696,119,4,ip_out_online_friend;ip_out_online_enemy;ip_out_offline_friend;ip_out_offline_enemy,6603,5282,1321,123,123,[],0.003981071705534973,0.7071185157137448,0.721612380780997,0.7844331314836733,0.691900075700227,0.7013939838591343,0.7660905141701335,0.6936270731539468,0.011641565285305105,0.7097574135814758,0.009255863364815023,0.7656318700482727,0.01519419383990297
w3_self,drop_plus_A2,W3,W3,54,21.0,0.526124488868696,119,4,ip_in_online_friend;ip_in_online_enemy;ip_in_offline_friend;ip_in_offline_enemy,6603,5282,1321,123,123,[],0.003981071705534973,0.7054146156758804,0.7200431810003598,0.7843093505497614,0.6926570779712339,0.7014705882352941,0.765037810007585,0.6915068933085587,0.011988345523573998,0.7078966442115273,0.010167765692934672,0.7655497411183427,0.015722763985101158
w3_self,drop_plus_B1,W3,W3,54,21.0,0.526124488868696,119,2,ip_out_friend_total;ip_out_enemy_total,6603,5282,1321,121,121,[],0.003981071705534973,0.7073078379401742,0.7221423436376707,0.7843138072384387,0.6941710825132476,0.7038123167155426,0.7659319190015399,0.6916585231573876,0.01282433188689137,0.707672847027461,0.010878760851706616,0.7658255539298091,0.015399261327319403
w3_self,drop_plus_B2,W3,W3,54,21.0,0.526124488868696,119,2,ip_in_friend_total;ip_in_enemy_total,6603,5282,1321,121,121,[],0.003981071705534973,0.7061719045815978,0.720662347012239,0.7842895110969392,0.6934140802422407,0.7024246877296105,0.7651090629094168,0.6918096942169615,0.011995377771509164,0.70817757689171,0.01043921155969936,0.7657028918111756,0.015695110046818426
w3_self,drop_plus_C1,W3,W3,54,21.0,0.526124488868696,119,2,ip_out_friend_online_minus_offline;ip_out_enemy_online_minus_offline,6603,5282,1321,121,121,[],0.003981071705534973,0.7065505490344567,0.7211227060093559,0.7843821670921846,0.6926570779712339,0.7027818448023426,0.7656423104328038,0.692415296033767,0.011037368368050448,0.7085934343044173,0.009048124120498754,0.765859891288884,0.014920344999617353
w3_self,drop_plus_C2,W3,W3,54,21.0,0.526124488868696,119,2,ip_in_friend_online_minus_offline;ip_in_enemy_online_minus_offline,6603,5282,1321,121,121,[],0.003981071705534973,0.7056039379023097,0.7205750224618149,0.7842906612101463,0.6949280847842544,0.7038941954445261,0.7656928770082975,0.6918099236115891,0.011248279182665397,0.707678171334823,0.009465029171900407,0.7658383796174706,0.015404934428632737
w3_self,drop_plus_D1,W3,W3,54,21.0,0.526124488868696,119,1,ip_reciprocal_friend_count,6603,5282,1321,120,120,[],0.003981071705534973,0.7076864823930329,0.7221022318214543,0.7842758535026051,0.6941710825132476,0.7033773861967695,0.7661732594754866,0.6924162136122772,0.013322531925059297,0.708443025620846,0.011105784736752927,0.7661517499925978,0.015504380677639512
