2024的完整題目,2025的完整題目,2024的題目編號,2025的題目編號,status,題目分類
關於你在社群媒體上的行為，以下敘述符不符合你的情況。 (3)我會發佈對自己形象加分的訊息，即使那不是真實的情況,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-3.我會發佈對自己形象加分的訊息，即使那不是真實的情況。,v23_3,25-3,3,其他
關於你在社群媒體上的行為，以下敘述符不符合你的情況。 (8)我會隱藏自己正在線上活動的紀錄,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-8.我會隱藏自己正在線上活動的紀錄。,v23_8,25-8,3,其他
關於你在網路上的意見表達，以下敘述你同不同意？ (4)如果我想要更瞭解某些事情，我會試著去網路上看看別人的想法,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-4.如果我想要更瞭解某些事情，我會試著去網路上看看別人的想法。,v26_4,27-4,3,其他
關於你在網路上的意見表達，以下敘述你同不同意？ (6)我喜歡在網路上看看其他人的不同觀點和經歷,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-6.我喜歡在網路上看看其他人的不同觀點和經歷。,v26_6,27-6,3,其他
關於你在網路上的意見表達，以下敘述你同不同意？ (3)我經常在網路上和他人比較自己受歡迎的程度,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-3.我經常在網路上和他人比較自己受歡迎的程度。,v26_3,27-3,3,其他
關於你在網路上的意見表達，以下敘述你同不同意？ (1)我經常會在網路上和他人比較自己在生活上獲得的成就,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-1.我經常會在網路上和他人比較自己在生活上獲得的成就。,v26_1,27-1,3,其他
關於你在網路上的意見表達，以下敘述你同不同意？ (2)我總是在網路上留意他人的表現，並和自己的表現進行比較,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-2.我總是在網路上留意他人的表現，並和自己的表現進行比較。,v26_2,27-2,3,其他
關於你在網路上的意見表達，以下敘述你同不同意？ (5)我總是好奇網路上的人們在和我遇到相同的問題時會怎麼想或怎麼做,27.關於你在網路上的意見表達，以下敘述你同不同意？ - 27-5.我總是好奇網路上的人們在和我遇到相同的問題時會怎麼想或怎麼做。,v26_5,27-5,3,其他
請問你的性別（生理性別）：,1.請問你的性別（生理性別）：,v1,1,3,基本資料
請問你的身高______公分（僅能填答阿拉伯數字）,64.請問你的身高______公分（僅能填答阿拉伯數字）,v61,64,3,基本資料
請問你的體重______公斤（僅能填答阿拉伯數字）,65.請問你的體重______公斤（僅能填答阿拉伯數字）,v62,65,3,基本資料
上八年級以來，你有沒有參加校外補習（包含家教與家教班）？,10.上九年級以來，你有沒有參加校外補習（包含家教與家教班）？,v17,10,3,學校與學習
你上學期的平均成績大約如何？,9.你上學期的平均成績大約如何？,v15,9,3,學校與學習
你有多同意下列的敘述？ (12)在學校有困難或問題時，我會找老師或認識的大人聊聊,53.你有多同意下列的敘述？ - 53-12.在學校有困難或問題時，我會找老師或認識的大人聊聊。,v54_12,53-12,3,學校與學習
學校的科技領域課程對我的數位知識與能力有幫助,48.學校的科技領域課程對我的數位知識與能力有幫助,v49,48,3,學校與學習
學校的資訊科技課程教學內容包含(可複選)： (7)探索性資訊科技項目：鼓勵學生進行小型項目，應用所學知識解決實際問題或進行創意創作,47.學校的資訊科技課程教學內容包含：【可複選】-(7)探索性資訊科技項目：鼓勵學生進行小型項目，應用所學知識解決實際問題或進行創意創作。,v48_07,47,3,學校與學習
下列關於你家中生活的情形，你認為符不符合？ (1)作決定時，家人會彼此商量,4.下列關於你家中生活的情形，你認為符不符合？ - 4-1. 作決定時，家人會彼此商量,v5_1,4-1,3,家庭與人際
下列關於你家中生活的情形，你認為符不符合？ (2)家人喜歡共度休閒時光,4.下列關於你家中生活的情形，你認為符不符合？ - 4-2. 家人喜歡共度休閒時光,v5_2,4-2,3,家庭與人際
下列關於你家中生活的情形，你認為符不符合？ (4)家人會接納彼此的朋友,4.下列關於你家中生活的情形，你認為符不符合？ - 4-4. 家人會接納彼此的朋友,v5_4,4-4,3,家庭與人際
下列關於你家中生活的情形，你認為符不符合？ (5)我受到挫折時，總可以從我的家人那裡得到安慰,4.下列關於你家中生活的情形，你認為符不符合？ - 4-5. 我受到挫折時，總可以從我的家人那裡得到安慰,v5_5,4-5,3,家庭與人際
下列關於你家中生活的情形，你認為符不符合？ (6)當我需要幫忙或忠告時，我可以依賴我的家人,4.下列關於你家中生活的情形，你認為符不符合？ - 4-6. 當我需要幫忙或忠告時，我可以依賴我的家人,v5_6,4-6,3,家庭與人際
你同不同意以下說法？ (3)我會隨時透過網路追蹤朋友們的行蹤和做的事情,28.你同不同意以下說法？ - 28-3.我會隨時透過網路追蹤朋友們的行蹤和做的事情,v27_3,28-3,3,家庭與人際
你同不同意以下說法？ (1)沒跟上朋友們在網路上聊天或開玩笑的話題，會讓我感到很焦慮,28.你同不同意以下說法？ - 28-1.沒跟上朋友們在網路上聊天或開玩笑的話題，會讓我感到很焦慮。,v27_1,28-1,3,家庭與人際
你同不同意以下說法？ (2)錯過和朋友們在網路上的聚會，會讓我感到很困擾,28.你同不同意以下說法？ - 28-2.錯過和朋友們在網路上的聚會，會讓我感到很困擾。,v27_2,28-2,3,家庭與人際
你有多同意下列的敘述？ (10)我會跟同學好好的相處,53.你有多同意下列的敘述？ - 53-10.我會跟同學好好的相處。,v54_10,53-10,3,家庭與人際
你有多同意下列的敘述？ (16)當我跟同學相處有問題時，我知道如何尋求協助,53.你有多同意下列的敘述？ - 53-16.當我跟同學相處有問題時，我知道如何尋求協助。,v54_16,53-16,3,家庭與人際
你有多同意下列的敘述？ (20)當朋友或同學要違反規定時，我會告訴他們這是不對的,53.你有多同意下列的敘述？ - 53-20.當朋友或同學要違反規定時，我會告訴他們這是不對的。,v54_20,53-20,3,家庭與人際
請問以下敘述是否符合對你家長的情形？ (4)家長會參加學校的家長會/學校日,11.請問以下敘述是否符合對你家長的情形？ - 11-3.家長會參加學校的家長會/學校日,v19_4,11-3,3,家庭與人際
請問以下敘述是否符合對你家長的情形？ (9)家長會幫我買課本以外的評量、測驗卷等補充教材,11.請問以下敘述是否符合對你家長的情形？ - 11-7.家長會幫我買課本以外的評量、測驗卷等補充教材,v19_9,11-7,3,家庭與人際
請問以下敘述是否符合對你家長的情形？ (5)家長會為班上的活動或設備出錢出力,11.請問以下敘述是否符合對你家長的情形？ - 11-4.家長會為班上的活動或設備出錢出力,v19_5,11-4,3,家庭與人際
請問以下敘述是否符合對你家長的情形？ (7)家長會花時間在我的學校功課上,11.請問以下敘述是否符合對你家長的情形？ - 11-6.家長會花時間在我的學校功課上,v19_7,11-6,3,家庭與人際
請問以下敘述是否符合對你家長的情形？ (1)家長知道我在學校主要的授課老師是誰,11.請問以下敘述是否符合對你家長的情形？ - 11-1.家長知道我在學校主要的授課老師是誰,v19_1,11-1,3,家庭與人際
請問以下敘述是否符合對你家長的情形？ (2)家長知道我在學校的學習狀況 (例如:是否跟得上進度?),11.請問以下敘述是否符合對你家長的情形？ - 11-2.家長知道我在學校的學習狀況 (例如:是否跟得上進度?),v19_2,11-2,3,家庭與人際
請問你親生父母的婚姻狀態：,3.請問你親生父母的婚姻狀態：,"v2,kv2",3,3,家庭與人際
過去一年，請問你家長和你相處情形如何？ (8)同樣一件事，他們有時處罰小孩，有時不處罰,5.過去一年，請問你家長和你相處情形如何？ - 5-8. 同樣一件事，他們有時處罰小孩，有時不處罰。,v6_8,5-8,3,家庭與人際
過去一年，請問你家長和你相處情形如何？ (5)對你不聞不問,5.過去一年，請問你家長和你相處情形如何？ - 5-5. 對你不聞不問。,v6_5,5-5,3,家庭與人際
過去一年，請問你家長和你相處情形如何？ (1)批評你或指責你,5.過去一年，請問你家長和你相處情形如何？ - 5-1. 批評你或指責你。,v6_1,5-1,3,家庭與人際
過去一年，請問你家長和你相處情形如何？ (4)提供解決問題的經驗，給你參考,5.過去一年，請問你家長和你相處情形如何？ - 5-4. 提供解決問題的經驗，給你參考。,v6_4,5-4,3,家庭與人際
過去一年，請問你家長和你相處情形如何？ (10)有關你的事，會告訴你他們的想法,5.過去一年，請問你家長和你相處情形如何？ - 5-10. 有關你的事，會告訴你他們的想法。,v6_10,5-10,3,家庭與人際
過去一年，請問你家長和你相處情形如何？ (2)理解你、相信你,5.過去一年，請問你家長和你相處情形如何？ - 5-2. 理解你、相信你。,v6_2,5-2,3,家庭與人際
過去一年，請問你家長和你相處情形如何？ (6)讓你做你想做的事,5.過去一年，請問你家長和你相處情形如何？ - 5-6. 讓你做你想做的事。,v6_6,5-6,3,家庭與人際
過去一年，請問你家長和你相處情形如何？ (7)你做錯事時，家長會跟你解釋原因,5.過去一年，請問你家長和你相處情形如何？ - 5-7. 你做錯事時，家長會跟你解釋原因。,v6_7,5-7,3,家庭與人際
