2024的完整題目,2025的完整題目,2024的題目編號,2025的題目編號,status,題目分類
,44.你認為下列各項的重要性如何？ - 44-2.對不同種族和宗教的人皆一視同仁,,"44-2,No ID",2,其他
,44.你認為下列各項的重要性如何？ - 44-3.幫助比自己不幸的人,,"44-3,No ID",2,其他
,44.你認為下列各項的重要性如何？ - 44-4.關心生存環境(例如環保、生態等議題),,"44-4,No ID",2,其他
,50.請問你覺得你在使用AI工具時（例如Chat GPT），能夠判斷AI提供的資訊是正確的嗎？,,"50,No ID",2,其他
,51.你對下列的敘述，覺得同不同意？ - 51-1.我對很多事情都充滿好奇。,,"51-1,No ID",2,其他
,51.你對下列的敘述，覺得同不同意？ - 51-2.我喜歡學習新事物。,,"51-2,No ID",2,其他
,51.你對下列的敘述，覺得同不同意？ - 51-3.當我在學習時，我喜歡去找出我不懂的地方。,,"51-3,No ID",2,其他
,51.你對下列的敘述，覺得同不同意？ - 51-4.我不喜歡學習很多新知識。,,"51-4,No ID",2,其他
,51.你對下列的敘述，覺得同不同意？ - 51-5.我對大部分學校教的東西都不感興趣。,,"51-5,No ID",2,其他
,57.最近三個月內，你有沒有抽菸（包括電子菸）？,,"57,No ID",2,其他
,58-6.過去一個月來，你是否使用安眠藥幫助入睡？,,"58-6,No ID",2,其他
,58-7.過去一個月來，你在上課（或寫作業、唸書）期間，是否感到昏昏欲睡？,,"58-7,No ID",2,其他
,59. 我們的社會中，有一群人比較接近上層，有一群人比較接近下層。下面有一個由上到下的圖表，請問你認為自己的家庭最接近這個圖表裡面的哪一層？,,59,2,其他
,61.最近三個月內，你有沒有喝酒？,,"61,No ID",2,其他
,62.最近一年內，你有沒有嚼檳榔？,,"62,No ID",2,其他
,63.整體而言，你覺得你和班上同學的關係如何？,,"63,No ID",2,其他
,No ID,,"No ID",2,其他
,1.請問你的出生年/月：,,"1,No ID",2,基本資料
,61.請問你的身高_______公分(僅能填答阿拉伯數字),,"61,No ID",2,基本資料
,62.請問你的體重_______公斤(僅能填答阿拉伯數字),,"62,No ID",2,基本資料
,6.上九年級以來，你有沒有參加學校的社團活動？,,"6,No ID",2,學校與學習
,7.你每週平均花多少時間在「學校社團活動」？ - 7-1. 自習或學科活動（如閱讀、寫作業等）,,"7-1,No ID",2,學校與學習
,7.你每週平均花多少時間在「學校社團活動」？ - 7-2. 體育性社團（如球類、田徑、舞蹈、國術等）,,"7-2,No ID",2,學校與學習
,7.你每週平均花多少時間在「學校社團活動」？ - 7-3. 音樂性社團（如管樂、弦樂、合唱、國樂等）,,"7-3,No ID",2,學校與學習
,7.你每週平均花多少時間在「學校社團活動」？ - 7-4. 學藝性社團（如棋藝、書法、美術、辯論、科學等）,,"7-4,No ID",2,學校與學習
,7.你每週平均花多少時間在「學校社團活動」？ - 7-5. 服務或聯誼性社團（如童軍、康輔、慈幼等）,,"7-5,No ID",2,學校與學習
,7.你每週平均花多少時間在「學校社團活動」？ - 7-6. 技藝性社團（如家政、工藝、電腦、技能實作等）,,"7-6,No ID",2,學校與學習
,7.你每週平均花多少時間在「學校社團活動」？ - 7-7. 其他,,"7-7,No ID",2,學校與學習
,8.這學期以來，你在學校裡，有多常因為下列原因而不想去上學？ - 8-1. 功課跟不上,,"8-1,No ID",2,學校與學習
,8.這學期以來，你在學校裡，有多常因為下列原因而不想去上學？ - 8-2. 對上課內容沒興趣,,"8-2,No ID",2,學校與學習
,8.這學期以來，你在學校裡，有多常因為下列原因而不想去上學？ - 8-3. 覺得老師管教太嚴格,,"8-3,No ID",2,學校與學習
,8.這學期以來，你在學校裡，有多常因為下列原因而不想去上學？ - 8-4. 身體不舒服或生病,,"8-4,No ID",2,學校與學習
,8.這學期以來，你在學校裡，有多常因為下列原因而不想去上學？ - 8-5. 不喜歡學校的環境,,"8-5,No ID",2,學校與學習
,8.這學期以來，你在學校裡，有多常因為下列原因而不想去上學？ - 8-6. 被同學排擠,,"8-6,No ID",2,學校與學習
,8.這學期以來，你在學校裡，有多常因為下列原因而不想去上學？ - 8-7. 覺得上學沒用,,"8-7,No ID",2,學校與學習
,8.這學期以來，你在學校裡，有多常因為下列原因而不想去上學？ - 8-8. 家裡發生變故,,"8-8,No ID",2,學校與學習
,14-1.你希望將來最高學歷是：,,"14-1,No ID",2,學校與學習
,14-2.你的父母希望你將來最高學歷是：,,"14-2,No ID",2,學校與學習
,41.在學校或家裡使用網路進行學習活動時，你能做到下列的事情嗎？ - 41-1.我能專心在該完成的學習活動上,,"41-1,No ID",2,學校與學習
,41.在學校或家裡使用網路進行學習活動時，你能做到下列的事情嗎？ - 41-2.我能按照師長進度完成學習活動,,"41-2,No ID",2,學校與學習
,41.在學校或家裡使用網路進行學習活動時，你能做到下列的事情嗎？ - 41-3.進行學習活動時，我能控制自己不去瀏覽無關的網頁或玩遊戲,,"41-3,No ID",2,學校與學習
,41.在學校或家裡使用網路進行學習活動時，你能做到下列的事情嗎？ - 41-4.我能區分網路資料的真實性和正確性,,"41-4,No ID",2,學校與學習
,41.在學校或家裡使用網路進行學習活動時，你能做到下列的事情嗎？ - 41-5.我能選擇適合自己的網路數位教材進行學習,,"41-5,No ID",2,學校與學習
,41.在學校或家裡使用網路進行學習活動時，你能做到下列的事情嗎？ - 41-6.我能反思自己使用網路學習的效果,,"41-6,No ID",2,學校與學習
,42.你有多常在課堂上使用下列數位科技設備進行學習？（包括老師教學、學生學習） - 42-1.桌上型電腦,,"42-1,No ID",2,學校與學習
,42.你有多常在課堂上使用下列數位科技設備進行學習？（包括老師教學、學生學習） - 42-2.筆記型電腦,,"42-2,No ID",2,學校與學習
,42.你有多常在課堂上使用下列數位科技設備進行學習？（包括老師教學、學生學習） - 42-3.平板電腦,,"42-3,No ID",2,學校與學習
,42.你有多常在課堂上使用下列數位科技設備進行學習？（包括老師教學、學生學習） - 42-4.智慧型手機,,"42-4,No ID",2,學校與學習
,42.你有多常在課堂上使用下列數位科技設備進行學習？（包括老師教學、學生學習） - 42-5.觸控顯示器/單槍投影機/電子白板,,"42-5,No ID",2,學校與學習
,42.你有多常在課堂上使用下列數位科技設備進行學習？（包括老師教學、學生學習） - 42-6.虛擬實境(VR)/擴增實境(AR)設備,,"42-6,No ID",2,學校與學習
,42.你有多常在課堂上使用下列數位科技設備進行學習？（包括老師教學、學生學習） - 42-7.機器人設備,,"42-7,No ID",2,學校與學習
,45.請問你有聽過或使用過生成式AI工具（例如Chat GPT）嗎？,,"45,No ID",2,學校與學習
,46.學校的課程，是否有教導如何使用生成式AI工具（例如Chat GPT）？,,"46,No ID",2,學校與學習
,47.除了學校的課程，你是否曾經透過其他管道（例如家人朋友、網路資源、補習班等）學習如何使用生成式AI工具（例如Chat GPT）？,,"47,No ID",2,學校與學習
,48.請問你使用生成式AI工具（例如Chat GPT）協助學習的頻率？,,"48,No ID",2,學校與學習
,49.請問你通常使用AI工具協助進行哪些學習活動？（可複選） - 49-1.搜尋資料或解答問題,,"49-1,No ID",2,學校與學習
,49.請問你通常使用AI工具協助進行哪些學習活動？（可複選） - 49-2.翻譯語言或學習外語,,"49-2,No ID",2,學校與學習
,49.請問你通常使用AI工具協助進行哪些學習活動？（可複選） - 49-3.撰寫文章或報告,,"49-3,No ID",2,學校與學習
,49.請問你通常使用AI工具協助進行哪些學習活動？（可複選） - 49-4.製作簡報或投影片,,"49-4,No ID",2,學校與學習
,49.請問你通常使用AI工具協助進行哪些學習活動？（可複選） - 49-5.產生創意點子或靈感,,"49-5,No ID",2,學校與學習
,49.請問你通常使用AI工具協助進行哪些學習活動？（可複選） - 49-6.程式設計或除錯,,"49-6,No ID",2,學校與學習
,49.請問你通常使用AI工具協助進行哪些學習活動？（可複選） - 49-7.其他：,,"49-7,No ID",2,學校與學習
,60-1,60.你同意以下敘述嗎？ - 60-1.做任何決定前，我會試著去了解每個人不同的意見,,"60-1,60-1",2,家庭與人際
,60-2,60.你同意以下敘述嗎？ - 60-2.做決定時，我會考慮這個決定對其他人的影響,,"60-2,60-2",2,家庭與人際
,60-3,60.你同意以下敘述嗎？ - 60-3.當別人在說話時，我會專心聽,,"60-3,60-3",2,家庭與人際
,60-4,60.你同意以下敘述嗎？ - 60-4.當別人有困難時，我會主動關心他,,"60-4,60-4",2,家庭與人際
,60-5,60.你同意以下敘述嗎？ - 60-5.我可以從別人的臉部表情知道他在想什麼,,"60-5,60-5",2,家庭與人際
,60-6,60.你同意以下敘述嗎？ - 60-6.我可以從別人的臉部表情知道他的感覺,,"60-6,60-6",2,家庭與人際
,60-7,60.你同意以下敘述嗎？ - 60-7.當我讓別人生氣時，我會知道,,"60-7,60-7",2,家庭與人際
,60-8,60.你同意以下敘述嗎？ - 60-8.當我讓別人傷心時，我會知道,,"60-8,60-8",2,家庭與人際
,37.你這學期在學校裡，有沒有異性交往對象（男女朋友）？,,"37,No ID",2,家庭與人際
,26.平日(週一至週五)，你每天平均花多少時間上網 (包含使用電腦、手機、平板等)？,,"26-1,No ID",2,生活習慣
,26.假日(週六、週日)，你每天平均花多少時間上網 (包含使用電腦、手機、平板等)？,,"26-2,No ID",2,生活習慣
,55.我的日常生活中充滿讓我感興趣的事物。,,"55-5,No ID",2,身心狀況
,52.下列是有關你對自己的描述，你同不同意？ - 52-4.我希望自己能夠得到別人的尊重。,,"52-4,No ID",2,身心狀況
,52.下列是有關你對自己的描述，你同不同意？ - 52-5.我覺得自己是個失敗者。,,"52-5,No ID",2,身心狀況
,52.下列是有關你對自己的描述，你同不同意？ - 52-6.我幾乎事事不如人。,,"52-6,No ID",2,身心狀況
,54.這學期以來，你在學校裡，有多常因為下列原因感到壓力？ - 54-7. 睡眠不足,,"54-7,No ID",2,身心狀況
,54.這學期以來，你在學校裡，有多常因為下列原因感到壓力？ - 54-8. 沒有時間做休閒活動,,"54-8,No ID",2,身心狀況
,55-1.我對未來充滿熱忱。,,"55-1,No ID",2,身心狀況
,55-2.我覺得我有能力做大部分我想做的事。,,"55-2,No ID",2,身心狀況
,55-3.當我在做我感興趣的事情時，我很專注。,,"55-3,No ID",2,身心狀況
,55-4.我有能力可以把事情做好。,,"55-4,No ID",2,身心狀況
