scenario,mode,mode_label,mode_description,mode_rel_types,feature_year,target_year,edge_year,target_group_id,target_median_cutoff,target_positive_rate,n_nodes_modeling,n_features_used,n_edges_graph,test_accuracy_mean,test_accuracy_std,test_f1_mean,test_f1_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_auc_mean,test_auc_std,best_epoch_mean,best_epoch_std
w2_self,online_friend_only,online_friend only,only online_friend edges,online_friend,W2,W2,W2,v55,17.0,0.5415720127214902,6603,30,20312,0.7359576078728237,0.011583866321507107,0.7530197630711839,0.012498243622575792,0.7623804934415576,0.008981120062021617,0.7440559440559442,0.018909587447446807,0.8094250963557894,0.006461240736457418,24.6,9.156418513807678
w2_self,online_enemy_only,online_enemy only,only online_enemy edges,online_enemy,W2,W2,W2,v55,17.0,0.5415720127214902,6603,30,9412,0.7314155942467828,0.008421458885797638,0.7496859179912867,0.00826047565905498,0.7565243368739029,0.010825525512219004,0.7432167832167833,0.014224539451850213,0.8027708924738629,0.00660435116219719,23.4,7.8383671769061705
w2_self,offline_friend_only,offline_friend only,only offline_friend edges,offline_friend,W2,W2,W2,v55,17.0,0.5415720127214902,6603,30,21463,0.7341408024224073,0.006394765202707915,0.75081063138832,0.007261262657443915,0.7618786516979437,0.00477255209120176,0.7401398601398601,0.01184773067666984,0.8114606845299915,0.009065582031919123,25.4,9.264987857520376
w2_self,offline_enemy_only,offline_enemy only,only offline_enemy edges,offline_enemy,W2,W2,W2,v55,17.0,0.5415720127214902,6603,30,10585,0.7302043906131719,0.013002822439717726,0.7482259195820475,0.010208640838596137,0.7565506917491642,0.018776171211351986,0.7404195804195803,0.011382931440210256,0.803895543400494,0.01033119621427442,20.0,6.782329983125268
w2_self,friend_only,friend only,online_friend + offline_friend,"online_friend,offline_friend",W2,W2,W2,v55,17.0,0.5415720127214902,6603,30,25458,0.73111279333838,0.010460883978879463,0.7473897341316389,0.012299563077241574,0.7600121128871129,0.006777605237633325,0.7353846153846153,0.019885731566071315,0.8106842991991506,0.0092986955030317,20.8,7.782030583337488
w2_self,enemy_only,enemy only,online_enemy + offline_enemy,"online_enemy,offline_enemy",W2,W2,W2,v55,17.0,0.5415720127214902,6603,30,12595,0.7361090083270251,0.011664714782291108,0.7528147035076025,0.009977509241314507,0.7639396011640851,0.016947581440025988,0.7423776223776224,0.014491562346280965,0.805954441598006,0.008709968831260552,22.2,5.192301994298868
w2_self,online_only,online only,online_friend + online_enemy,"online_friend,online_enemy",W2,W2,W2,v55,17.0,0.5415720127214902,6603,30,29601,0.7333838001514005,0.011444512453574102,0.7497105611505942,0.013950496079696862,0.7616609552783885,0.006754779289764657,0.7384615384615385,0.02396469929018618,0.8088162662420088,0.005577604125097513,20.6,7.391887445030531
w2_self,offline_only,offline only,offline_friend + offline_enemy,"offline_friend,offline_enemy",W2,W2,W2,v55,17.0,0.5415720127214902,6603,30,31943,0.7367146101438304,0.012885948724271434,0.75403618035876,0.012368023317238417,0.7627513990303736,0.014085504082724076,0.7457342657342656,0.016486894577109258,0.8115770038542316,0.008970897909089939,24.6,4.963869458396342
w3_self,baseline_untyped,Baseline (untyped),all four relations merged as one edge type,"online_friend,online_enemy,offline_friend,offline_enemy",W3,W3,W3,54,21.0,0.526124488868696,6603,31,35759,0.659348978046934,0.012364885383252337,0.671157148804705,0.013676458109965544,0.6817905575862979,0.01110352307536084,0.6610071942446043,0.018596252571399744,0.7300645873077896,0.011087837221469068,12.6,2.939387691339814
w3_self,online_friend_only,online_friend only,only online_friend edges,online_friend,W3,W3,W3,54,21.0,0.526124488868696,6603,31,19543,0.6611657834973506,0.006644393113547822,0.6739672558528997,0.008362042883300233,0.6825309806874866,0.007972148451375708,0.6658992805755395,0.016212450096118894,0.7256777070356495,0.007653986659425087,11.6,3.006659275674582
w3_self,online_enemy_only,online_enemy only,only online_enemy edges,online_enemy,W3,W3,W3,54,21.0,0.526124488868696,6603,31,10140,0.6675246025738077,0.011741102782947042,0.6797068131510308,0.010516475860142096,0.6892956936767755,0.013112504535992001,0.6705035971223021,0.011653788046800891,0.7285595421426436,0.007903473491606269,15.6,4.882622246293481
w3_self,offline_friend_only,offline_friend only,only offline_friend edges,offline_friend,W3,W3,W3,54,21.0,0.526124488868696,6603,31,19972,0.6610143830431492,0.008116533022667799,0.6747702241339077,0.008376936615555846,0.6813120950848891,0.008788849756729923,0.6684892086330935,0.012364058163419213,0.7244503183395776,0.0076523788061194364,12.8,2.7856776554368237
w3_self,offline_enemy_only,offline_enemy only,only offline_enemy edges,offline_enemy,W3,W3,W3,54,21.0,0.526124488868696,6603,31,10633,0.6638909916729749,0.007524465489652805,0.6787296612533328,0.009751289488639556,0.6825794216547034,0.005990667268808892,0.6751079136690648,0.01661605759223255,0.7248847311926816,0.00716496753900462,16.4,4.841487374764082
w3_self,friend_only,friend only,online_friend + offline_friend,"online_friend,offline_friend",W3,W3,W3,54,21.0,0.526124488868696,6603,31,23700,0.6638909916729749,0.008657670525659845,0.6776886936896627,0.008021371732208082,0.6840104983130827,0.010564874196463682,0.6716546762589928,0.011632450608004453,0.7268048819730157,0.008395830840710815,14.8,4.874423042781577
w3_self,enemy_only,enemy only,online_enemy + offline_enemy,"online_enemy,offline_enemy",W3,W3,W3,54,21.0,0.526124488868696,6603,31,12518,0.664345193035579,0.015577333676780599,0.6779777671334569,0.015240186470791901,0.684461749781039,0.015052803846777806,0.6716546762589928,0.016263448806842933,0.7273951318178685,0.010896172147780568,15.8,5.635601121442148
w3_self,online_only,online only,online_friend + online_enemy,"online_friend,online_enemy",W3,W3,W3,54,21.0,0.526124488868696,6603,31,29438,0.6617713853141559,0.013587294562413053,0.6743236335447804,0.01825559062803304,0.6829416492585711,0.010084451068984944,0.6664748201438849,0.029675190737258744,0.7271400004596961,0.012341773967478754,10.4,3.49857113690718
w3_self,offline_only,offline only,offline_friend + offline_enemy,"offline_friend,offline_enemy",W3,W3,W3,54,21.0,0.526124488868696,6603,31,30424,0.6604087812263437,0.010765413374492772,0.6736159135697077,0.013144821895798834,0.6811736871121876,0.009026047929224587,0.6664748201438849,0.020376864422561702,0.7258808927299055,0.01034803551571471,13.2,2.9257477676655586
