scenario,mode,mode_label,seed,best_epoch,n_train,n_val,n_test,test_accuracy,test_f1,test_precision,test_recall,test_auc
w2_predict_w3,online_friend_only,online_friend only,72,8,3961,1321,1321,0.6411809235427707,0.6594827586206896,0.6585365853658537,0.660431654676259,0.6877261130392809
w2_predict_w3,online_friend_only,online_friend only,82,4,3961,1321,1321,0.6207418622255867,0.6408602150537634,0.6385714285714286,0.6431654676258993,0.6725883191210611
w2_predict_w3,online_only,online only,42,8,3961,1321,1321,0.6373959121877366,0.6571224051539012,0.6538461538461539,0.660431654676259,0.6855908244650286
w2_predict_w3,online_only,online only,52,4,3961,1321,1321,0.6199848599545799,0.6409155937052933,0.6372688477951636,0.6446043165467625,0.675551060748845
w2_predict_w3,online_only,online only,62,4,3961,1321,1321,0.6487509462528388,0.6750700280112045,0.6575716234652115,0.6935251798561151,0.7042705771485048
w2_predict_w3,online_only,online only,72,8,3961,1321,1321,0.6336109008327026,0.6492753623188405,0.654014598540146,0.6446043165467625,0.6888132944123934
w2_predict_w3,online_only,online only,82,4,3961,1321,1321,0.6351249053747161,0.6566951566951567,0.6502115655853314,0.6633093525179856,0.677727721975774
w2_self,baseline_untyped,Baseline (untyped),42,6,3961,1321,1321,0.708554125662377,0.7400405131667792,0.7154046997389034,0.7664335664335664,0.7812919753513814
w2_self,baseline_untyped,Baseline (untyped),52,9,3961,1321,1321,0.7168811506434519,0.727007299270073,0.7603053435114504,0.6965034965034965,0.7800041542615801
w2_self,baseline_untyped,Baseline (untyped),62,10,3961,1321,1321,0.7312641937925813,0.753984753984754,0.7472527472527473,0.7608391608391608,0.7945971520228947
w2_self,baseline_untyped,Baseline (untyped),72,7,3961,1321,1321,0.7350492051476154,0.7503566333808844,0.7656477438136827,0.7356643356643356,0.8021971427912022
w2_self,baseline_untyped,Baseline (untyped),82,14,3961,1321,1321,0.7130961392884179,0.729478943611706,0.7448979591836735,0.7146853146853147,0.783983013685984
w2_self,enemy_only,enemy only,42,6,3961,1321,1321,0.7252081756245269,0.7548953409858203,0.7297650130548303,0.7818181818181819,0.7906113688291906
w2_self,enemy_only,enemy only,52,8,3961,1321,1321,0.6987130961392884,0.7165242165242165,0.7300435413642961,0.7034965034965035,0.7722056821066722
w2_self,enemy_only,enemy only,62,8,3961,1321,1321,0.7138531415594247,0.7403846153846154,0.7273954116059379,0.7538461538461538,0.7828821343672827
w2_self,enemy_only,enemy only,72,6,3961,1321,1321,0.7441332323996972,0.7623066104078763,0.7666195190947667,0.7580419580419581,0.7960834544992961
w2_self,enemy_only,enemy only,82,5,3961,1321,1321,0.6964420893262679,0.7154009936124911,0.7262247838616714,0.7048951048951049,0.7626947310115626
w2_self,friend_only,friend only,42,6,3961,1321,1321,0.7130961392884179,0.7373527373527373,0.7307692307692307,0.7440559440559441,0.7803088001107803
w2_self,friend_only,friend only,52,9,3961,1321,1321,0.7130961392884179,0.72831541218638,0.7470588235294118,0.7104895104895105,0.7816727826628818
w2_self,friend_only,friend only,62,7,3961,1321,1321,0.7267221801665406,0.7480809490579204,0.7465181058495822,0.7496503496503496,0.7908767799856908
w2_self,friend_only,friend only,72,7,3961,1321,1321,0.7350492051476154,0.7478386167146974,0.7711738484398217,0.7258741258741259,0.8068960742228068
w2_self,friend_only,friend only,82,14,3961,1321,1321,0.7070401211203634,0.7177242888402626,0.75,0.6881118881118881,0.7888365759652889
w2_self,offline_enemy_only,offline_enemy only,42,5,3961,1321,1321,0.7305071915215746,0.7513966480446927,0.7503486750348675,0.7524475524475525,0.7927369660042927
w2_self,offline_enemy_only,offline_enemy only,52,7,3961,1321,1321,0.6858440575321726,0.7050461975835111,0.7167630057803468,0.6937062937062937,0.7632509404786633
w2_self,offline_enemy_only,offline_enemy only,62,7,3961,1321,1321,0.7108251324753975,0.7387140902872777,0.7228915662650602,0.7552447552447552,0.778023956241778
w2_self,offline_enemy_only,offline_enemy only,72,6,3961,1321,1321,0.7358062074186222,0.7557732680195941,0.7563025210084033,0.7552447552447552,0.7964827251955964
w2_self,offline_enemy_only,offline_enemy only,82,5,3961,1321,1321,0.6971990915972748,0.7146932952924394,0.7292576419213974,0.7006993006993008,0.7665328071268666
w2_self,offline_friend_only,offline_friend only,42,6,3961,1321,1321,0.7183951551854656,0.7416666666666667,0.736551724137931,0.7468531468531469,0.7841468762260841
w2_self,offline_friend_only,offline_friend only,52,10,3961,1321,1321,0.7183951551854656,0.7372881355932204,0.7446504992867332,0.73006993006993,0.7785709340164785
w2_self,offline_friend_only,offline_friend only,62,7,3961,1321,1321,0.7312641937925813,0.753984753984754,0.7472527472527473,0.7608391608391608,0.7872925754113873
w2_self,offline_friend_only,offline_friend only,72,7,3961,1321,1321,0.7418622255866768,0.7541456380677721,0.7782738095238095,0.7314685314685314,0.8044750628909045
w2_self,offline_friend_only,offline_friend only,82,5,3961,1321,1321,0.7100681302043906,0.7281760113555713,0.739193083573487,0.7174825174825175,0.7765884280735766
w2_self,offline_only,offline only,42,6,3961,1321,1321,0.7108251324753975,0.7394270122783083,0.7217043941411452,0.7580419580419581,0.7806226776523808
w2_self,offline_only,offline only,52,10,3961,1321,1321,0.7093111279333838,0.7276595744680852,0.7381294964028777,0.7174825174825175,0.7770361651549771
w2_self,offline_only,offline only,62,10,3961,1321,1321,0.7252081756245269,0.7487889273356402,0.7410958904109589,0.7566433566433567,0.7872464169493874
w2_self,offline_only,offline only,72,7,3961,1321,1321,0.7342922028766087,0.7483870967741936,0.7676470588235295,0.73006993006993,0.8021925269450022
w2_self,offline_only,offline only,82,9,3961,1321,1321,0.7236941710825132,0.7383512544802867,0.7573529411764706,0.7202797202797203,0.7830667682152831
w2_self,online_enemy_only,online_enemy only,42,6,3961,1321,1321,0.728993186979561,0.7584345479082322,0.7327249022164276,0.786013986013986,0.7868817650995868
w2_self,online_enemy_only,online_enemy only,52,7,3961,1321,1321,0.6964420893262679,0.7182009838369642,0.7217514124293786,0.7146853146853147,0.7674028941355674
w2_self,online_enemy_only,online_enemy only,62,8,3961,1321,1321,0.7138531415594247,0.7432065217391305,0.7225891677675033,0.765034965034965,0.7787809550185788
w2_self,online_enemy_only,online_enemy only,72,7,3961,1321,1321,0.7229371688115064,0.7429775280898876,0.7461212976022567,0.7398601398601399,0.796058067345196
w2_self,online_enemy_only,online_enemy only,82,6,3961,1321,1321,0.7040121120363361,0.719310839913855,0.7389380530973452,0.7006993006993008,0.7692515405386693
w2_self,online_friend_only,online_friend only,42,6,3961,1321,1321,0.708554125662377,0.7346657477601654,0.7241847826086957,0.7454545454545455,0.7804034249578804
w2_self,online_friend_only,online_friend only,52,9,3961,1321,1321,0.712339137017411,0.727403156384505,0.7466863033873343,0.7090909090909091,0.7790002077130791
w2_self,online_friend_only,online_friend only,62,9,3961,1321,1321,0.7259651778955337,0.7482614742698191,0.7441217150760719,0.7524475524475525,0.7966627431973966
w2_self,online_friend_only,online_friend only,72,7,3961,1321,1321,0.7274791824375473,0.7402597402597403,0.7645305514157973,0.7174825174825175,0.8020378960973021
w2_self,online_friend_only,online_friend only,82,14,3961,1321,1321,0.7108251324753975,0.7231884057971014,0.750375939849624,0.6979020979020979,0.7828267442128828
w2_self,online_only,online only,42,10,3961,1321,1321,0.7236941710825132,0.7467036780013879,0.7410468319559229,0.7524475524475525,0.7946502342541946
w2_self,online_only,online only,52,9,3961,1321,1321,0.7138531415594247,0.7248908296943232,0.7556904400606981,0.6965034965034965,0.77992337695308
w2_self,online_only,online only,62,9,3961,1321,1321,0.7320211960635882,0.7538247566063978,0.7496542185338866,0.7580419580419581,0.7917768699946919
w2_self,online_only,online only,72,6,3961,1321,1321,0.7274791824375473,0.7424892703862661,0.7598828696925329,0.7258741258741259,0.7965888896581965
w2_self,online_only,online only,82,14,3961,1321,1321,0.7055261165783497,0.721546170365068,0.7390029325513197,0.7048951048951049,0.7782258995130282
w3_self,baseline_untyped,Baseline (untyped),42,12,3961,1321,1321,0.688115064345193,0.6902255639097744,0.7228346456692913,0.660431654676259,0.755924334015216
w3_self,baseline_untyped,Baseline (untyped),52,6,3961,1321,1321,0.6934140802422407,0.7080028839221341,0.7095375722543352,0.7064748201438849,0.7597696922334336
w3_self,baseline_untyped,Baseline (untyped),62,13,3961,1321,1321,0.6760030280090841,0.6875912408759124,0.6977777777777778,0.6776978417266187,0.7513572528558623
w3_self,baseline_untyped,Baseline (untyped),72,9,3961,1321,1321,0.6934140802422407,0.7113328581610834,0.7048022598870056,0.7179856115107913,0.7474245523708828
w3_self,baseline_untyped,Baseline (untyped),82,9,3961,1321,1321,0.6676760030280091,0.6802621995630007,0.6887905604719764,0.6719424460431654,0.7354517663824212
