student_id,student_oid,school_id,school_name,class,status,sid,sentinel_count_all_v,has_v13_sentinel,has_v55_sentinel,has_v61_sentinel,has_v62_sentinel,has_v59_sentinel,has_v60_sentinel,has_v56_sentinel
s112034557032,s112034557032,34557,市立楊光國中(小),801,0,s112034557032,26,True,False,True,True,False,False,False
s112084530035,s112084530035,84530,縣立同富國中,八年忠班,0,s112084530035,26,True,False,False,False,False,False,False
s112034557026,s112034557026,34557,市立楊光國中(小),801,0,s112034557026,25,True,False,True,True,False,False,False
s112044501062,s112044501062,44501,縣立竹東國中,八年五班,0,s112044501062,25,False,False,False,False,True,False,False
s112084530051,s112084530051,84530,縣立同富國中,八年孝班,0,s112084530051,25,True,False,False,False,False,False,False
s112121320057,s112121320057,121320,私立義大國際高中附設國中,203,0,s112121320057,24,True,False,False,False,False,False,False
s112014514077,s112014514077,14514,市立碧華國中,814,0,s112014514077,24,False,False,False,False,False,False,False
s112203505033,s112203505033,203505,市立民生國中,八年2班,0,s112203505033,24,True,False,False,False,False,False,False
s112551301092,s112551301092,551301,私立立志高中附設國中,國中203,0,s112551301092,24,False,False,False,False,True,False,False
s112084507037,s112084507037,84507,縣立宏仁國中,803,0,s112084507037,24,True,False,False,False,False,False,False
s112051302043,s112051302043,51302,私立君毅高中附設國中,801,0,s112051302043,23,False,False,False,False,False,False,False
s112074323064,s112074323064,74323,縣立和美高中附設國中,208,0,s112074323064,23,True,False,False,False,False,False,False
s112074536070,s112074536070,74536,縣立大同國中,815,0,s112074536070,23,True,False,False,False,False,False,False
s112084530040,s112084530040,84530,縣立同富國中,八年忠班,0,s112084530040,23,False,False,True,True,False,False,False
s112121320045,s112121320045,121320,私立義大國際高中附設國中,203,0,s112121320045,22,False,False,False,False,False,False,False
s112421302031,s112421302031,421302,臺北市私立幼華高中附設國中,801,0,s112421302031,22,False,False,False,False,False,False,False
s112421302036,s112421302036,421302,臺北市私立幼華高中附設國中,801,0,s112421302036,22,False,False,False,False,False,False,False
s112421302087,s112421302087,421302,臺北市私立幼華高中附設國中,803,0,s112421302087,22,False,False,False,False,False,False,False
s112551301039,s112551301039,551301,私立立志高中附設國中,國中201,0,s112551301039,22,False,False,False,False,False,False,False
s112061315085,s112061315085,61315,私立華盛頓高中附設國中,204,0,s112061315085,22,False,False,False,False,False,False,False
s112111323108,s112111323108,111323,私立黎明高中附設國中,國二和,0,s112111323108,20,False,False,False,False,True,False,False
s112084530041,s112084530041,84530,縣立同富國中,八年忠班,0,s112084530041,19,False,False,False,False,False,False,False
s112333501083,s112333501083,333501,市立仁愛國中,810,0,s112333501083,17,True,False,True,True,False,False,False
s112061313024,s112061313024,61313,私立明道高中附設國中,Y27,0,s112061313024,16,True,False,False,False,False,False,False
s112121320046,s112121320046,121320,私立義大國際高中附設國中,203,0,s112121320046,15,False,False,False,False,False,False,False
s112034557034,s112034557034,34557,市立楊光國中(小),801,0,s112034557034,15,True,False,False,False,False,False,False
s112421302073,s112421302073,421302,臺北市私立幼華高中附設國中,803,0,s112421302073,15,False,False,False,False,False,False,False
s112084507024,s112084507024,84507,縣立宏仁國中,803,0,s112084507024,15,True,False,False,False,False,False,False
s113084516003,s113084516003,84516,縣立名間國中,801,0,s113084516003,15,True,False,False,False,False,False,False
s112421302056,s112421302056,421302,臺北市私立幼華高中附設國中,801,0,s112421302056,14,False,False,False,False,False,False,False
s112061315052,s112061315052,61315,私立華盛頓高中附設國中,201,0,s112061315052,14,False,False,False,False,False,False,False
s112061315102,s112061315102,61315,私立華盛頓高中附設國中,204,0,s112061315102,14,False,False,False,False,False,False,False
s112074511035,s112074511035,74511,縣立明倫國中,八年一班,0,s112074511035,9,False,False,False,True,False,False,False
s112413508074,s112413508074,413508,市立天母國中,817,0,s112413508074,8,False,False,False,True,False,False,False
s113413508004,s113413508004,413508,市立天母國中,817,0,s113413508004,7,False,False,False,False,False,False,False
s113413508005,s113413508005,413508,市立天母國中,817,0,s113413508005,7,True,False,True,True,False,False,False
s112064523038,s112064523038,64523,市立光復國中(小),八年三班,0,s112064523038,7,False,False,False,False,False,False,False
s112084530039,s112084530039,84530,縣立同富國中,八年忠班,0,s112084530039,4,False,False,False,False,False,False,False
s112121320044,s112121320044,121320,私立義大國際高中附設國中,203,0,s112121320044,0,False,False,False,False,False,False,False
s112014302034,s112014302034,14302,市立海山高中附設國中,806,0,s112014302034,0,False,False,False,False,False,False,False
s112411303102,s112411303102,411303,私立華興中學附設國中,國二己,0,s112411303102,0,False,False,False,False,False,False,False
