column,min,max,median,avg,p22,p75
student_id,,,,,,
40-2,0.0,1.0,0.75,0.665,0.5,0.75
40-3,0.0,1.0,0.75,0.685,0.5,0.75
40-4,0.0,1.0,0.75,0.708,0.5,1.0
40-5,0.0,1.0,0.75,0.699,0.5,1.0
40-6,0.0,1.0,0.75,0.69,0.5,1.0
40-7,0.0,1.0,0.5,0.468,0.25,0.75
40-8,0.0,1.0,0.5,0.57,0.5,0.75
40-9,0.0,1.0,0.5,0.584,0.5,0.75
41-1,0.0,0.0,0.0,0.0,0.0,0.0
41,0.0,1.0,0.25,0.271,0.0,0.25
42,0.0,1.0,0.0,0.437,0.0,1.0
42_1,0.0,1.0,0.0,0.208,0.0,0.0
42_2,0.0,1.0,1.0,0.73,0.0,1.0
42_3,0.0,1.0,0.0,0.329,0.0,1.0
42_4,0.0,1.0,0.0,0.135,0.0,0.0
42_5,0.0,1.0,0.0,0.421,0.0,1.0
42_6,0.0,1.0,0.0,0.034,0.0,0.0
其他.4,0.0,123456.0,61728.0,61728.0,27160.32,92592.0
43-1,0.0,4.0,1.0,1.514,1.0,2.0
43-2,0.0,4.0,2.0,1.844,1.0,2.0
43-3,0.0,4.0,2.0,1.564,1.0,2.0
43-4,0.0,4.0,1.0,1.407,1.0,2.0
44-1,1.0,4.0,3.0,2.961,2.0,4.0
44-2,1.0,4.0,3.0,2.869,2.0,3.0
44-3,1.0,4.0,3.0,2.794,2.0,3.0
44-4,1.0,4.0,3.0,2.824,2.0,3.0
44-5,1.0,4.0,3.0,2.714,2.0,3.0
44-6,1.0,4.0,3.0,2.754,2.0,3.0
44-7,1.0,4.0,3.0,2.872,2.0,3.0
44-8,1.0,4.0,3.0,2.698,2.0,3.0
44-9,1.0,4.0,3.0,2.565,2.0,3.0
44-10,1.0,4.0,2.0,2.31,1.0,3.0
44-11,1.0,4.0,2.0,2.388,2.0,3.0
45,0.0,1.0,1.0,0.528,0.0,1.0
46-1,1.0,5.0,1.5,1.856,1.5,2.0
46-2,1.0,5.0,1.5,1.75,1.0,2.0
46-3,1.0,5.0,1.5,1.694,1.0,2.0
46-4,1.0,5.0,1.5,1.812,1.0,2.0
46-5,1.0,5.0,1.5,1.726,1.0,2.0
46-6,1.0,5.0,1.5,1.696,1.0,2.0
46-7,1.0,5.0,1.5,1.698,1.0,2.0
47,0.0,1.0,1.0,0.575,0.0,1.0
47_1,0.0,1.0,1.0,0.672,0.0,1.0
47_2,0.0,1.0,1.0,0.607,0.0,1.0
47_3,0.0,1.0,1.0,0.53,0.0,1.0
47_4,0.0,1.0,1.0,0.507,0.0,1.0
47_5,0.0,1.0,0.0,0.439,0.0,1.0
47_6,0.0,1.0,0.0,0.353,0.0,1.0
47_7,0.0,1.0,0.0,0.104,0.0,0.0
48,0.0,1.0,0.667,0.65,0.667,0.667
49,0.0,1.0,0.667,0.736,0.667,1.0
50,0.0,1.0,0.667,0.737,0.667,1.0
51,0.0,1.0,0.667,0.733,0.667,1.0
52-1,0.0,1.0,0.667,0.718,0.667,1.0
52-2,0.0,1.0,0.667,0.704,0.667,1.0
52-3,0.0,1.0,0.667,0.669,0.333,1.0
53-1,0.0,1.0,0.667,0.782,0.667,1.0
53-2,0.0,1.0,0.667,0.778,0.667,1.0
53-3,0.0,1.0,0.667,0.785,0.667,1.0
53-4,0.0,1.0,0.667,0.687,0.667,1.0
53-5,0.0,1.0,0.667,0.698,0.667,1.0
53-6,0.0,1.0,0.667,0.701,0.667,1.0
53-7,0.0,1.0,0.667,0.678,0.667,1.0
53-8,0.0,1.0,0.667,0.639,0.333,0.667
53-9,0.0,1.0,0.667,0.685,0.667,1.0
53-10,0.0,1.0,0.667,0.746,0.667,1.0
53-11,0.0,1.0,0.667,0.699,0.667,1.0
53-12,0.0,1.0,0.667,0.594,0.333,0.667
53-13,0.0,1.0,0.667,0.648,0.333,0.667
53-14,0.0,1.0,0.667,0.745,0.667,1.0
53-15,0.0,1.0,0.667,0.711,0.667,1.0
