wave,nominator_student_id,school_id,class,nominator_seat,nomination_type,nomination_column,nominated_raw,nominated_seat_normalized,reason,candidate_count,candidate_student_ids
W2,s112044529079,44529,8.0,28,online_friend,v14_1_05,32.0,32,ambiguous_duplicate_seat,2,s112044529083;s112044529050
W2,s112044529079,44529,8.0,28,online_enemy,v14_2_01,13.0,13,ambiguous_duplicate_seat,2,s112044529068;s112044529036
W2,s112044529079,44529,8.0,28,online_enemy,v14_2_02,4.0,4,ambiguous_duplicate_seat,2,s112044529059;s112044529027
W2,s112044529079,44529,8.0,28,online_enemy,v14_2_04,26.0,26,ambiguous_duplicate_seat,2,s112044529077;s112044529044
W2,s112044529079,44529,8.0,28,offline_friend,v14_3_01,29.0,29,ambiguous_duplicate_seat,2,s112044529080;s112044529047
W2,s112044529079,44529,8.0,28,offline_friend,v14_3_03,24.0,24,ambiguous_duplicate_seat,2,s112044529075;s112044529042
W2,s112044529079,44529,8.0,28,offline_friend,v14_3_05,32.0,32,ambiguous_duplicate_seat,2,s112044529083;s112044529050
W2,s112044529079,44529,8.0,28,offline_enemy,v14_4_01,13.0,13,ambiguous_duplicate_seat,2,s112044529068;s112044529036
W2,s112044529079,44529,8.0,28,offline_enemy,v14_4_02,4.0,4,ambiguous_duplicate_seat,2,s112044529059;s112044529027
W2,s112044529079,44529,8.0,28,offline_enemy,v14_4_04,26.0,26,ambiguous_duplicate_seat,2,s112044529077;s112044529044
W2,s112044529080,44529,8.0,29,online_enemy,v14_2_01,13.0,13,ambiguous_duplicate_seat,2,s112044529068;s112044529036
W2,s112044529080,44529,8.0,29,online_enemy,v14_2_02,4.0,4,ambiguous_duplicate_seat,2,s112044529059;s112044529027
W2,s112044529080,44529,8.0,29,online_enemy,v14_2_04,26.0,26,ambiguous_duplicate_seat,2,s112044529077;s112044529044
W2,s112044529080,44529,8.0,29,offline_friend,v14_3_04,34.0,34,ambiguous_duplicate_seat,2,s112044529085;s112044529052
W2,s112044529080,44529,8.0,29,offline_enemy,v14_4_01,13.0,13,ambiguous_duplicate_seat,2,s112044529068;s112044529036
W2,s112044529080,44529,8.0,29,offline_enemy,v14_4_02,4.0,4,ambiguous_duplicate_seat,2,s112044529059;s112044529027
W2,s112044529080,44529,8.0,29,offline_enemy,v14_4_04,26.0,26,ambiguous_duplicate_seat,2,s112044529077;s112044529044
W2,s112044529081,44529,8.0,30,online_friend,v14_1_02,31.0,31,ambiguous_duplicate_seat,2,s112044529082;s112044529049
W2,s112044529081,44529,8.0,30,online_friend,v14_1_03,26.0,26,ambiguous_duplicate_seat,2,s112044529077;s112044529044
W2,s112044529081,44529,8.0,30,offline_friend,v14_3_02,31.0,31,ambiguous_duplicate_seat,2,s112044529082;s112044529049
W2,s112044529081,44529,8.0,30,offline_friend,v14_3_03,26.0,26,ambiguous_duplicate_seat,2,s112044529077;s112044529044
W2,s112044529082,44529,8.0,31,online_friend,v14_1_01,30.0,30,ambiguous_duplicate_seat,2,s112044529081;s112044529048
W2,s112044529082,44529,8.0,31,offline_friend,v14_3_01,30.0,30,ambiguous_duplicate_seat,2,s112044529081;s112044529048
W2,s112044529082,44529,8.0,31,offline_friend,v14_3_02,26.0,26,ambiguous_duplicate_seat,2,s112044529077;s112044529044
W2,s112044529083,44529,8.0,32,online_friend,v14_1_02,24.0,24,ambiguous_duplicate_seat,2,s112044529075;s112044529042
