wave,feature_code,feature_name,model_column,source_type,items,reference_category,n_non_missing,n_unique_non_missing
W2,v23_B,Social Media Use: Selective Sharing and Impression Management - Digital Image Enhancement,v23_B,decomposed_subscale,v23_4;v23_5;v23_6,,6603,10
W2,v23_C,Social Media Use: Selective Sharing and Impression Management - Social Feedback Dependency,v23_C,decomposed_subscale,v23_7;v23_8;v23_9,,6603,10
W2,v26_A,Online Social Comparison and Perspective Seeking - Online Upward Social Comparison,v26_A,decomposed_subscale,v26_1;v26_2;v26_3,,6603,10
W2,v26_B,Online Social Comparison and Perspective Seeking - Online Perspective Seeking,v26_B,decomposed_subscale,v26_4;v26_5;v26_6,,6603,10
W2,v27_A,"Online Peer Interaction Anxiety (Fear of Missing Out, FOMO) - Fear of Missing Out & Social Anxiety",v27_A,decomposed_subscale,v27_1;v27_2;v27_3,,6603,10
W2,v27_B,"Online Peer Interaction Anxiety (Fear of Missing Out, FOMO) - Instant Response Pressure",v27_B,decomposed_subscale,v27_4,,6603,4
W2,v54_A,Social and Emotional Learning (SEL) Competencies - Self-Awareness,v54_A,decomposed_subscale,v54_1;v54_2;v54_3;v54_18,,6603,13
W2,v54_B,Social and Emotional Learning (SEL) Competencies - Self-Management,v54_B,decomposed_subscale,v54_4;v54_5;v54_6,,6603,10
W2,v54_C,Social and Emotional Learning (SEL) Competencies - Motivation & Goal Setting,v54_C,decomposed_subscale,v54_7;v54_8;v54_9,,6603,10
W2,v54_D,Social and Emotional Learning (SEL) Competencies - Social Awareness & Relationship Skills,v54_D,decomposed_subscale,v54_10;v54_11;v54_13;v54_14;v54_15,,6603,16
W2,v54_E,Social and Emotional Learning (SEL) Competencies - Help-Seeking,v54_E,decomposed_subscale,v54_12;v54_16,,6603,7
W2,v54_F,Social and Emotional Learning (SEL) Competencies - Responsible Decision-Making,v54_F,decomposed_subscale,v54_17;v54_19;v54_20,,6603,10
