dataset,variable_name,group_id,item,n_rows,n_missing,pct_missing,n_nonmissing
W3 2025,Social Media Self-Presentation and Online Image Management,26,26-8,6603,0,0.0,6603
W3 2025,Social Media Self-Presentation and Online Image Management,26,26-9,6603,0,0.0,6603
W3 2025,Social Media Self-Presentation and Online Image Management,26,26-10,6603,0,0.0,6603
W3 2025,Social Media Self-Presentation and Online Image Management,26,26-11,6603,0,0.0,6603
W3 2025,Social Media Self-Presentation and Online Image Management,26,26-12,6603,0,0.0,6603
W3 2025,Social Media Self-Presentation and Online Image Management,26,26-13,6603,0,0.0,6603
W3 2025,Social Media Self-Presentation and Online Image Management,26,26-14,6603,0,0.0,6603
W3 2025,Social Media Self-Presentation and Online Image Management,26,26-15,6603,0,0.0,6603
W2 2024,Physical/Offline Bullying Victimization,v34,v34,6603,0,0.0,6603
W3 2025,Physical/Offline Bullying Victimization,30,30,6603,0,0.0,6603
W2 2024,Parental Involvement in Schooling and Academic Monitoring,v19,v19_1,6603,0,0.0,6603
W2 2024,Parental Involvement in Schooling and Academic Monitoring,v19,v19_2,6603,0,0.0,6603
W2 2024,Parental Involvement in Schooling and Academic Monitoring,v19,v19_3,6603,0,0.0,6603
W2 2024,Parental Involvement in Schooling and Academic Monitoring,v19,v19_4,6603,0,0.0,6603
W2 2024,Parental Involvement in Schooling and Academic Monitoring,v19,v19_5,6603,0,0.0,6603
W2 2024,Parental Involvement in Schooling and Academic Monitoring,v19,v19_6,6603,0,0.0,6603
W2 2024,Parental Involvement in Schooling and Academic Monitoring,v19,v19_7,6603,0,0.0,6603
W2 2024,Parental Involvement in Schooling and Academic Monitoring,v19,v19_8,6603,0,0.0,6603
W2 2024,Parental Involvement in Schooling and Academic Monitoring,v19,v19_9,6603,0,0.0,6603
W2 2024,Parental Involvement in Schooling and Academic Monitoring,v19,v19_10,6603,0,0.0,6603
W3 2025,Parental Involvement in Schooling and Academic Monitoring,11,11-1,6603,0,0.0,6603
W3 2025,Parental Involvement in Schooling and Academic Monitoring,11,11-2,6603,0,0.0,6603
W3 2025,Parental Involvement in Schooling and Academic Monitoring,11,11-3,6603,0,0.0,6603
W3 2025,Parental Involvement in Schooling and Academic Monitoring,11,11-4,6603,0,0.0,6603
W3 2025,Parental Involvement in Schooling and Academic Monitoring,11,11-5,6603,0,0.0,6603
W3 2025,Parental Involvement in Schooling and Academic Monitoring,11,11-6,6603,0,0.0,6603
W3 2025,Parental Involvement in Schooling and Academic Monitoring,11,11-7,6603,0,0.0,6603
W3 2025,Parental Involvement in Schooling and Academic Monitoring,11,11-8,6603,0,0.0,6603
W2 2024,Gender (Demographic Variable),v1,v1,6603,0,0.0,6603
W3 2025,Gender (Demographic Variable),1,1,6603,0,0.0,6603
W2 2024,Perceived Social Status (Subjective Social Status),v3,v3,6603,0,0.0,6603
W3 2025,Perceived Social Status (Subjective Social Status),59,59,6603,0,0.0,6603
W2 2024,Social Media Use: Selective Sharing and Impression Management,v23,v23_1,6603,0,0.0,6603
W2 2024,Social Media Use: Selective Sharing and Impression Management,v23,v23_2,6603,0,0.0,6603
W2 2024,Social Media Use: Selective Sharing and Impression Management,v23,v23_3,6603,0,0.0,6603
W2 2024,Social Media Use: Selective Sharing and Impression Management,v23,v23_4,6603,0,0.0,6603
W2 2024,Social Media Use: Selective Sharing and Impression Management,v23,v23_5,6603,0,0.0,6603
