school_id,class_name,seat_no,in_Online_Like,in_Online_Dislike,in_Offline_Like,in_Offline_Dislike
34513,八年06班,13,0,1,0,1
34513,八年06班,18,0,0,0,1
34513,八年06班,31,1,0,1,0
34513,八年06班,34,0,1,0,1
34513,八年13班,2,1,1,1,1
34513,八年13班,14,1,1,1,1
34513,八年13班,19,0,0,0,1
34513,八年13班,20,0,0,0,1
34513,八年13班,23,0,1,1,1
34513,八年13班,30,0,1,0,1
34513,八年13班,31,1,1,1,1
34513,八年13班,37,1,0,0,0
34513,八年13班,40,0,1,0,0
34513,八年13班,42,0,0,0,1
34513,八年13班,43,0,0,1,1
34513,八年13班,46,0,0,0,1
34513,八年13班,48,0,1,0,0
34513,八年13班,49,1,0,0,1
34513,八年13班,51,0,0,1,0
34513,八年13班,52,0,1,1,0
34513,八年13班,53,0,0,1,0
34513,八年13班,54,0,0,1,0
34513,八年13班,55,0,1,0,1
34513,八年13班,57,0,1,0,1
34513,八年13班,58,0,1,1,0
34513,八年13班,59,0,1,1,0
34513,八年13班,60,1,1,0,1
34517,801,1,0,1,0,0
34517,801,2,0,1,0,1
34517,801,3,1,1,1,1
34517,801,4,0,1,0,1
34517,801,6,1,0,1,1
34517,801,8,1,1,1,1
34517,801,9,1,1,1,0
34517,801,12,1,1,1,1
34517,801,17,1,0,1,0
34517,801,43,1,0,1,0
34517,801,60,0,0,1,1
34517,811,2,1,1,1,1
34517,811,7,1,1,1,1
34517,811,10,1,1,1,1
34517,811,11,1,0,1,0
34517,811,39,1,1,1,1
34518,805,4,1,0,1,1
34518,805,10,1,0,1,0
34518,805,14,1,1,1,1
34518,805,15,1,1,1,1
34518,805,16,1,1,1,1
34518,805,19,0,1,0,1
34518,805,21,1,1,1,1
34518,805,22,1,1,1,1
34518,805,27,1,0,1,0
34518,812,4,1,1,1,1
34518,812,5,1,0,1,0
34518,812,10,1,1,1,1
34518,812,12,1,0,1,0
34518,812,13,1,1,1,1
34518,812,14,1,1,1,1
34518,812,15,1,1,1,1
34518,812,20,1,1,1,0
34518,812,22,0,1,0,0
34518,812,23,1,1,1,1
34518,812,26,1,0,1,1
34518,812,29,1,0,1,0
34524,八年九班,2,1,1,1,1
34524,八年九班,20,0,1,0,0
34524,八年四班,2,1,1,1,1
34524,八年四班,9,0,1,0,0
34524,八年四班,16,0,0,1,0
34524,八年四班,18,0,1,0,0
34524,八年四班,21,1,1,1,1
34524,八年四班,41,0,0,0,1
34524,八年四班,42,0,0,0,1
34524,八年四班,43,0,1,0,0
34524,八年四班,44,0,0,0,1
34524,八年四班,45,0,0,1,0
34524,八年四班,46,0,0,0,1
34524,八年四班,47,0,0,1,0
34524,八年四班,48,0,1,0,0
34524,八年四班,51,1,0,1,0
34524,八年四班,52,0,1,0,0
34524,八年四班,55,1,0,0,0
34524,八年四班,58,1,0,0,0
34524,八年四班,59,1,0,1,0
34524,八年四班,60,1,0,0,0
34527,806,13,0,0,1,0
34527,818,5,0,1,0,1
34527,818,10,1,0,1,0
34527,818,13,1,0,1,0
34527,818,17,1,0,1,0
34527,818,28,1,0,1,0
34543,803,7,1,0,1,1
34543,803,9,0,1,0,1
34543,803,12,1,0,1,1
34543,803,13,0,1,0,1
34543,803,16,0,0,0,1
34543,803,18,0,0,0,1
34543,803,20,1,0,1,1
34543,803,26,1,0,1,0
34543,803,28,1,1,1,0
34543,803,29,1,0,1,0
34543,803,31,0,1,0,1
34543,803,32,0,1,0,1
34543,803,40,0,0,0,1
34543,803,54,0,0,0,1
34543,803,55,0,1,0,0
34543,803,56,0,1,0,0
34543,803,57,0,1,0,0
34543,803,58,0,1,0,1
34543,803,59,0,1,0,0
34543,803,60,1,1,0,1
34543,808,1,1,1,1,1
34543,808,4,1,0,1,0
34543,808,9,1,1,1,1
34543,808,11,1,0,1,1
34543,808,18,0,1,1,1
34543,808,27,1,1,1,1
34543,808,35,0,0,0,1
34543,808,47,0,1,0,0
34543,808,48,0,0,0,1
34543,808,52,0,1,0,0
34543,808,59,0,1,0,1
34554,八年六班,6,1,1,1,1
34554,八年六班,10,1,0,1,0
34554,八年六班,13,1,0,1,0
34554,八年六班,34,1,1,1,1
34554,八年十三班,1,1,1,1,1
34554,八年十三班,8,1,1,1,1
34554,八年十三班,12,1,1,1,1
34554,八年十三班,31,1,0,1,0
34557,801,1,1,0,0,0
34557,801,3,1,0,1,0
34557,801,4,1,0,1,1
34557,801,10,1,1,1,1
34557,801,11,1,1,1,1
34557,801,12,1,1,1,1
34557,801,23,0,1,0,1
34557,801,26,0,1,0,1
34557,803,7,0,1,0,1
34557,803,26,1,1,1,1
34560,804,7,0,1,0,1
34560,804,9,1,1,1,1
34560,804,10,1,1,1,1
34560,804,13,1,0,1,0
34560,804,15,1,0,1,0
34560,804,18,0,0,1,1
34560,804,20,1,0,1,0
34560,804,24,1,0,1,0
34560,804,25,1,0,1,0
34560,804,28,1,1,1,0
34560,804,29,1,1,1,1
34560,812,3,1,1,1,1
34560,812,9,1,1,1,1
34560,812,16,1,1,1,1
34560,812,28,0,1,0,1
34563,802,4,1,0,1,0
