student_id,school_id,class,v13,nominated_seat_no,rank
s112011306023,11306,108.0,1,4,2
s112011306023,11306,108.0,1,11,3
s112011306023,11306,108.0,1,25,4
s112011306023,11306,108.0,1,17,5
s112011306026,11306,108.0,4,30,1
s112011306027,11306,108.0,5,2,1
s112011306027,11306,108.0,5,7,2
s112011306027,11306,108.0,5,27,3
s112011306029,11306,108.0,7,2,1
s112011306029,11306,108.0,7,11,2
s112011306029,11306,108.0,7,34,3
s112011306029,11306,108.0,7,42,4
s112011306042,11306,108.0,20,31,1
s112011306042,11306,108.0,20,2,2
s112011306042,11306,108.0,20,7,3
s112011306042,11306,108.0,20,17,4
s112011306042,11306,108.0,20,15,5
s112011306045,11306,108.0,23,2,1
s112011306045,11306,108.0,23,17,2
s112011306045,11306,108.0,23,31,3
s112011306045,11306,108.0,23,15,4
s112011306045,11306,108.0,23,34,5
s112011306046,11306,108.0,24,37,1
s112011306046,11306,108.0,24,34,2
s112011306046,11306,108.0,24,32,3
s112011306046,11306,108.0,24,4,4
s112011306046,11306,108.0,24,30,5
s112011306050,11306,108.0,28,31,3
s112011306050,11306,108.0,28,25,4
s112011306050,11306,108.0,28,27,5
s112011306055,11306,108.0,34,35,1
s112011306055,11306,108.0,34,1,2
s112011306055,11306,108.0,34,21,3
s112011306056,11306,108.0,35,1,1
s112011306057,11306,108.0,37,20,1
s112011324027,11324,國二忠,4,60,1
s112011324033,11324,國二忠,10,34,1
s112011324036,11324,國二忠,13,24,1
s112011324036,11324,國二忠,13,34,2
s112011324037,11324,國二忠,14,34,1
s112011324037,11324,國二忠,14,40,2
s112011324037,11324,國二忠,14,23,3
s112011324038,11324,國二忠,15,34,1
s112011324040,11324,國二忠,17,34,5
s112011324044,11324,國二忠,22,40,1
s112011324044,11324,國二忠,22,34,2
s112011324044,11324,國二忠,22,31,3
s112011324045,11324,國二忠,23,40,1
s112011324045,11324,國二忠,23,34,2
s112011324046,11324,國二忠,24,34,1
s112011324046,11324,國二忠,24,36,2
s112011324046,11324,國二忠,24,39,3
s112011324046,11324,國二忠,24,40,4
s112011324046,11324,國二忠,24,6,5
s112011324048,11324,國二忠,26,34,1
s112011324048,11324,國二忠,26,36,2
s112011324051,11324,國二忠,29,34,1
s112011324051,11324,國二忠,29,15,2
s112011324051,11324,國二忠,29,16,3
s112011324051,11324,國二忠,29,14,4
s112011324051,11324,國二忠,29,23,5
s112011324053,11324,國二忠,31,34,1
s112011324056,11324,國二忠,34,31,1
s112011324056,11324,國二忠,34,40,2
s112011324057,11324,國二忠,35,34,1
s112011324057,11324,國二忠,35,15,2
s112011324057,11324,國二忠,35,16,3
s112011324057,11324,國二忠,35,23,4
s112011324057,11324,國二忠,35,31,5
s112011324058,11324,國二忠,36,34,1
s112011324058,11324,國二忠,36,41,2
s112011324058,11324,國二忠,36,40,3
s112011324058,11324,國二忠,36,6,4
s112011324058,11324,國二忠,36,11,5
s112011324059,11324,國二忠,37,34,1
s112011324060,11324,國二忠,38,36,1
s112011324060,11324,國二忠,38,34,2
s112011324060,11324,國二忠,38,15,3
s112011324060,11324,國二忠,38,14,4
s112011324060,11324,國二忠,38,23,5
s112011324061,11324,國二忠,39,23,1
s112011324061,11324,國二忠,39,15,2
s112011324061,11324,國二忠,39,34,3
s112011324061,11324,國二忠,39,36,4
s112011324061,11324,國二忠,39,10,5
s112011324062,11324,國二忠,40,15,1
s112011324062,11324,國二忠,40,34,2
s112011324062,11324,國二忠,40,14,3
s112011324062,11324,國二忠,40,36,4
s112011324062,11324,國二忠,40,27,5
s112011324063,11324,國二忠,41,34,1
s112011324063,11324,國二忠,41,36,2
s112011324073,11324,國二義,8,7,1
s112011324073,11324,國二義,8,19,2
s112011324073,11324,國二義,8,20,3
s112011324073,11324,國二義,8,27,4
s112011324073,11324,國二義,8,28,5
s112011324094,11324,國二義,30,1,1
s112011324094,11324,國二義,30,9,2
s112011324094,11324,國二義,30,35,3
s112011324097,11324,國二義,33,1,1
s112011324097,11324,國二義,33,35,2
s112011324097,11324,國二義,33,34,3
s112011324097,11324,國二義,33,11,4
s112011324097,11324,國二義,33,4,5
s112014302024,14302,806.0,1,42,1
s112014302024,14302,806.0,1,15,2
s112014302024,14302,806.0,1,12,3
s112014302024,14302,806.0,1,36,4
s112014302024,14302,806.0,1,44,5
s112014302031,14302,806.0,8,38,1
s112014302033,14302,806.0,10,4,1
s112014302033,14302,806.0,10,33,2
s112014302033,14302,806.0,10,42,3
s112014302034,14302,806.0,11,34,1
s112014302034,14302,806.0,11,35,2
s112014302035,14302,806.0,12,34,1
s112014302035,14302,806.0,12,42,2
s112014302035,14302,806.0,12,40,3
s112014302035,14302,806.0,12,29,4
s112014302035,14302,806.0,12,32,5
s112014302036,14302,806.0,13,4,1
s112014302038,14302,806.0,15,42,1
s112014302038,14302,806.0,15,4,2
s112014302038,14302,806.0,15,3,3
s112014302038,14302,806.0,15,44,4
s112014302038,14302,806.0,15,34,5
s112014302043,14302,806.0,33,6,1
s112014302044,14302,806.0,34,42,1
s112014302046,14302,806.0,36,2,1
s112014302051,14302,806.0,41,4,1
s112014302057,14302,820.0,1,33,1
s112014302057,14302,820.0,1,42,2
s112014302057,14302,820.0,1,4,3
s112014302060,14302,820.0,4,35,1
s112014302062,14302,820.0,6,33,1
s112014302062,14302,820.0,6,9,2
s112014302062,14302,820.0,6,36,3
s112014302063,14302,820.0,7,4,1
s112014302063,14302,820.0,7,35,2
s112014302063,14302,820.0,7,46,3
s112014302064,14302,820.0,8,11,1
s112014302064,14302,820.0,8,4,2
s112014302064,14302,820.0,8,12,3
s112014302064,14302,820.0,8,5,4
s112014302066,14302,820.0,10,39,1
s112014302066,14302,820.0,10,43,2
s112014302066,14302,820.0,10,33,3
s112014302068,14302,820.0,12,33,1
s112014302068,14302,820.0,12,43,2
s112014302068,14302,820.0,12,8,3
s112014302068,14302,820.0,12,39,4
s112014302071,14302,820.0,32,35,1
s112014302071,14302,820.0,32,8,3
s112014302073,14302,820.0,34,33,1
s112014302073,14302,820.0,34,7,2
s112014302073,14302,820.0,34,8,3
s112014302073,14302,820.0,34,36,4
s112014302073,14302,820.0,34,39,5
s112014302077,14302,820.0,38,6,1
s112014302077,14302,820.0,38,7,2
s112014302077,14302,820.0,38,8,3
s112014302077,14302,820.0,38,9,4
s112014302077,14302,820.0,38,10,5
s112014302078,14302,820.0,39,13,1
s112014302078,14302,820.0,39,4,2
s112014302078,14302,820.0,39,35,3
s112014302078,14302,820.0,39,43,4
s112014302078,14302,820.0,39,8,5
s112014302085,14302,820.0,46,35,1
s112014322024,14322,805.0,1,12,1
s112014322024,14322,805.0,1,18,2
s112014322024,14322,805.0,1,19,3
s112014322024,14322,805.0,1,22,4
s112014322024,14322,805.0,1,28,5
s112014322026,14322,805.0,3,12,1
s112014322026,14322,805.0,3,13,2
s112014322026,14322,805.0,3,22,3
s112014322026,14322,805.0,3,10,4
s112014322026,14322,805.0,3,21,5
s112014322029,14322,805.0,6,12,1
s112014322029,14322,805.0,6,10,2
s112014322029,14322,805.0,6,21,3
s112014322029,14322,805.0,6,22,4
s112014322029,14322,805.0,6,13,5
s112014322030,14322,805.0,7,12,1
s112014322030,14322,805.0,7,13,2
s112014322030,14322,805.0,7,22,3
s112014322030,14322,805.0,7,21,4
s112014322030,14322,805.0,7,10,5
s112014322032,14322,805.0,9,21,1
s112014322032,14322,805.0,9,25,2
s112014322032,14322,805.0,9,27,3
s112014322032,14322,805.0,9,13,4
s112014322032,14322,805.0,9,10,5
s112014322034,14322,805.0,11,13,1
s112014322034,14322,805.0,11,12,2
s112014322034,14322,805.0,11,2,3
s112014322034,14322,805.0,11,9,4
s112014322034,14322,805.0,11,22,5
s112014322035,14322,805.0,12,9,1
s112014322035,14322,805.0,12,13,2
s112014322035,14322,805.0,12,29,3
s112014322035,14322,805.0,12,20,4
s112014322036,14322,805.0,13,16,1
s112014322036,14322,805.0,13,18,2
s112014322036,14322,805.0,13,20,4
s112014322036,14322,805.0,13,36,5
s112014322039,14322,805.0,18,2,1
s112014322039,14322,805.0,18,12,2
s112014322039,14322,805.0,18,13,3
s112014322039,14322,805.0,18,21,4
s112014322039,14322,805.0,18,10,5
s112014322042,14322,805.0,21,18,1
s112014322042,14322,805.0,21,19,2
s112014322042,14322,805.0,21,24,3
s112014322042,14322,805.0,21,9,4
s112014322042,14322,805.0,21,12,5
s112014322045,14322,805.0,24,2,1
s112014322045,14322,805.0,24,12,2
s112014322045,14322,805.0,24,13,3
s112014322045,14322,805.0,24,10,4
s112014322045,14322,805.0,24,29,5
s112014322048,14322,805.0,27,13,1
s112014322048,14322,805.0,27,12,2
s112014322048,14322,805.0,27,10,3
s112014322048,14322,805.0,27,5,4
s112014322049,14322,805.0,28,2,1
s112014322049,14322,805.0,28,1,2
s112014322049,14322,805.0,28,5,3
s112014322049,14322,805.0,28,12,4
s112014322049,14322,805.0,28,13,5
s112014322052,14322,811.0,1,21,1
s112014322052,14322,811.0,1,11,2
s112014322052,14322,811.0,1,8,3
s112014322052,14322,811.0,1,7,4
s112014322052,14322,811.0,1,26,5
s112014322057,14322,811.0,6,10,1
