scenario,mode,mode_label,mode_description,mode_rel_types,feature_year,target_year,edge_year,target_group_id,target_median_cutoff,target_positive_rate,n_nodes_modeling,n_features_used,n_edges_graph,test_accuracy_mean,test_accuracy_std,test_f1_mean,test_f1_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_auc_mean,test_auc_std,best_epoch_mean,best_epoch_std
w2_self,online_friend_only,online_friend only,only online_friend edges,online_friend,W2,W2,W2,v55,17.0,0.5415720127214902,6603,117,20312,0.7170325510976534,0.00801707936101361,0.7347557048942661,0.008950650054690434,0.7459798584675046,0.012980222134918699,0.7244755244755245,0.021044187830829692,0.7881862032357082,0.009353064496035169,9.0,2.756809750418044
w2_self,online_enemy_only,online_enemy only,only online_enemy edges,online_enemy,W2,W2,W2,v55,17.0,0.5415720127214902,6603,117,9412,0.7132475397426192,0.011915513925784112,0.7364260842976138,0.015481305470005521,0.7324249666225823,0.009389008864899562,0.7412587412587412,0.03137359416572854,0.7796750444275198,0.010773994289460456,6.8,0.7483314773547882
w2_self,offline_friend_only,offline_friend only,only offline_friend edges,offline_friend,W2,W2,W2,v55,17.0,0.5415720127214902,6603,117,21463,0.723996971990916,0.011213858705308827,0.7430522411335969,0.00999029763793358,0.7491843727549415,0.015032579205344159,0.7373426573426574,0.01499572045167017,0.7862147753236861,0.009899200301578783,7.0,1.6733200530681511
w2_self,offline_enemy_only,offline_enemy only,only offline_enemy edges,offline_enemy,W2,W2,W2,v55,17.0,0.5415720127214902,6603,117,10585,0.7120363361090083,0.019046393767520105,0.7331246998455031,0.02003088605087807,0.7351126820020151,0.015501564711057543,0.7314685314685314,0.02808369319834658,0.7794054790094392,0.013401076706689158,6.0,0.8944271909999159
w2_self,friend_only,friend only,online_friend + offline_friend,"online_friend,offline_friend",W2,W2,W2,v55,17.0,0.5415720127214902,6603,117,25458,0.719000757002271,0.010295230885692643,0.7358624008303994,0.011669549389801527,0.7491040017176094,0.012922185451813197,0.7236363636363636,0.02251009738599242,0.7897182025894895,0.009491727743040385,8.6,2.870540018881465
w2_self,enemy_only,enemy only,online_enemy + offline_enemy,"online_enemy,offline_enemy",W2,W2,W2,v55,17.0,0.5415720127214902,6603,117,12595,0.7156699470098411,0.01767304447389286,0.737902355383004,0.019255269098743998,0.7360096537963005,0.015372070369884605,0.7404195804195804,0.03108043511780891,0.7808954741628008,0.012130949772168055,6.6,1.2
w2_self,online_only,online only,online_friend + online_enemy,"online_friend,online_enemy",W2,W2,W2,v55,17.0,0.5415720127214902,6603,117,29601,0.7205147615442845,0.009592147804061852,0.7378909410106885,0.012560651793975022,0.749055458558872,0.008084623727701353,0.7275524475524475,0.024615384615384622,0.7882330540746383,0.007651832425191698,9.6,2.5768197453450252
w2_self,offline_only,offline only,offline_friend + offline_enemy,"offline_friend,offline_enemy",W2,W2,W2,v55,17.0,0.5415720127214902,6603,117,31943,0.720666161998486,0.00939415113246848,0.7405227730673027,0.00776601515113234,0.7451859561909964,0.01594015479368579,0.7365034965034964,0.01752665756399503,0.7860329109834061,0.008736313271330464,8.4,1.624807680927192
w3_self,baseline_untyped,Baseline (untyped),all four relations merged as one edge type,"online_friend,online_enemy,offline_friend,offline_enemy",W3,W3,W3,54,21.0,0.526124488868696,6603,119,35759,0.6837244511733535,0.01023941766474542,0.695482949286381,0.012079393688390965,0.7047485632120772,0.011430604276353735,0.6869064748201439,0.021718517714087133,0.7499855195715632,0.008374601347437886,9.8,2.481934729198171
w3_self,online_friend_only,online_friend only,only online_friend edges,online_friend,W3,W3,W3,54,21.0,0.526124488868696,6603,119,19543,0.6696442089326269,0.006308150387887866,0.6797680496008539,0.007678324650646081,0.6939458750030942,0.011947898717532575,0.6667625899280576,0.019317049147439883,0.7417289171857403,0.007342622433303102,10.0,2.5298221281347035
w3_self,online_enemy_only,online_enemy only,only online_enemy edges,online_enemy,W3,W3,W3,54,21.0,0.526124488868696,6603,119,10140,0.6769114307342922,0.006466057987604132,0.6861643409952085,0.008544329189227769,0.7018229090322765,0.009980856940580372,0.6716546762589928,0.01865849217547895,0.7430578987289402,0.009157598895296019,7.8,1.7204650534085255
w3_self,offline_friend_only,offline_friend only,only offline_friend edges,offline_friend,W3,W3,W3,54,21.0,0.526124488868696,6603,119,19972,0.6728236184708554,0.007059223755866625,0.6856612752100235,0.00849512492792943,0.6934812887500705,0.011289883660232721,0.6785611510791367,0.019445232698159575,0.7422826211873952,0.005222109130261228,9.8,2.6381811916545836
w3_self,offline_enemy_only,offline_enemy only,only offline_enemy edges,offline_enemy,W3,W3,W3,54,21.0,0.526124488868696,6603,119,10633,0.6775170325510975,0.0052007763928289714,0.6886376347418166,0.010726644407044768,0.699844447258565,0.008687124867087616,0.6785611510791367,0.025940814019538277,0.7427234697864712,0.009661399014788912,7.6,1.0198039027185568
w3_self,friend_only,friend only,online_friend + offline_friend,"online_friend,offline_friend",W3,W3,W3,54,21.0,0.526124488868696,6603,119,23700,0.6728236184708555,0.007916376358759348,0.6853320158762038,0.0029551260798299714,0.6942609086612107,0.01550944077797187,0.6771223021582733,0.011424134239585144,0.7423412324453537,0.00751070043269376,9.6,2.4166091947189146
w3_self,enemy_only,enemy only,online_enemy + offline_enemy,"online_enemy,offline_enemy",W3,W3,W3,54,21.0,0.526124488868696,6603,119,12518,0.679333838001514,0.010163019801264744,0.6907410499327982,0.010055605708838627,0.7013820765113876,0.013352941468989394,0.680863309352518,0.018140912244574925,0.742287447996874,0.01232912908449988,8.8,2.0396078054371136
w3_self,online_only,online only,online_friend + online_enemy,"online_friend,online_enemy",W3,W3,W3,54,21.0,0.526124488868696,6603,119,29438,0.6761544284632854,0.009151903866590413,0.6860135497768374,0.01292228128341894,0.700093062423542,0.009882934554338616,0.6730935251798561,0.025323741007194252,0.7474346656859816,0.006656287353324652,9.4,2.0591260281974
w3_self,offline_only,offline only,offline_friend + offline_enemy,"offline_friend,offline_enemy",W3,W3,W3,54,21.0,0.526124488868696,6603,119,30424,0.6746404239212718,0.01181893660031718,0.688426506733226,0.01455275788063085,0.6934704450678879,0.008801327767687859,0.6837410071942447,0.023154293743759918,0.7431250143655044,0.006625713335985911,8.0,2.449489742783178
