idx,ver11_col,ver00_col,deterministic,exact_ratio,raw_nonempty_n,clean_nonempty_n,raw_unique_nonempty,clean_unique_nonempty,mapped_raw_unique_nonempty,mapped_clean_unique_nonempty,collapsed_levels
73,12-10,12.升上國九後，家裡有沒有因為你要升學而改變一些安排？ - 12-10.父母陪伴你的時間,True,0.0,6713,6713,3,3,3,3,0
74,13,13.你會因為將來的升學問題而感覺有壓力嗎？,True,0.0,6713,6713,2,2,2,2,0
75,14,14.你父母有沒有跟你討論過升學的事情？,True,0.0,6713,6713,2,2,2,2,0
76,14-1,14-1.你們討論過哪些相關事情？【可複選】-(1)要唸什麼學校,True,0.049158,6383,6383,2,2,2,2,0
77,14-1_1,14-1.你們討論過哪些相關事情？【可複選】-(2)要加強的科目,True,0.049158,6383,6383,2,2,2,2,0
78,14-1_2,14-1.你們討論過哪些相關事情？【可複選】-(3)如何安排學習進度,True,0.049158,6383,6383,2,2,2,2,0
79,14-1_3,14-1.你們討論過哪些相關事情？【可複選】-(4)要如何準備申請,True,0.049158,6383,6383,2,2,2,2,0
80,14-1_4,14-1.你們討論過哪些相關事情？【可複選】-(5)如何調節情緒壓力,True,0.049158,6383,6383,2,2,2,2,0
81,14-1_5,14-1.你們討論過哪些相關事情？【可複選】-(6)有什麼獎勵,True,0.049158,6383,6383,2,2,2,2,0
82,14-1_6,14-1.你們討論過哪些相關事情？【可複選】-(7)其他,True,0.049158,6383,6383,2,2,2,2,0
83,其他.1,其他.1,True,1.0,48,48,45,45,45,45,0
84,15,15.你的父母親希望你唸到什麼樣的程度？,True,0.0,6713,6713,7,7,7,7,0
85,16,16.以你目前的狀況，你認為自己最可能上哪一類學校？,True,0.0,6713,6713,7,3,7,3,4
86,17,17.如果可以不受任何條件限制，你覺得你可以讀到什麼程度？,True,0.0,6713,6713,7,7,7,7,0
87,其他.2,其他.2,True,1.0,55,55,30,30,30,30,0
88,18,18.就你目前的環境和能力，你覺得你可以讀到什麼程度？,True,0.0,6713,6713,7,7,7,7,0
89,其他.3,其他.3,True,1.0,54,54,26,26,26,26,0
90,19-1,19-1.關於上網，請問你爸爸有沒有以下的情形？,True,0.926709,492,492,1,1,1,1,0
91,19-1_1,  - 19-1-1.會規定你什麼時候可以上網，什麼時候不行,True,0.073291,6221,6221,4,4,4,4,0
92,19-1_2,  - 19-1-2.會限制你上網時間的長短,True,0.073291,6221,6221,4,4,4,4,0
93,19-1_3,  - 19-1-3.會和你一起聊網路上發生的趣聞或事件,True,0.073291,6221,6221,4,4,4,4,0
94,19-1_4,  - 19-1-4.會陪你一起上網查資料或做作業,True,0.073291,6221,6221,4,4,4,4,0
95,19-1_5,  - 19-1-5.會鼓勵你上網,True,0.073291,6221,6221,4,4,4,4,0
96,19-1_6,  - 19-1-6.會和你討論使用網路的情形和心得,True,0.073291,6221,6221,4,4,4,4,0
97,19-1_7,  - 19-1-7.擔心你上網會產生健康問題（如:眼睛、體能）,True,0.073291,6221,6221,4,4,4,4,0
98,19-1_8,  - 19-1-8.擔心你課業成績會因為上網而有不好影響,True,0.073291,6221,6221,4,4,4,4,0
99,19-1_9,  - 19-1-9.會問你在網上做什麼,True,0.073291,6221,6221,4,4,4,4,0
100,19-1_10,  - 19-1-10.會查看你的網頁瀏覽記錄,True,0.073291,6221,6221,4,4,4,4,0
101,19-1_11,  - 19-1-11.會因為你上網而責罵你,True,0.073291,6221,6221,4,4,4,4,0
102,19-1_12,  - 19-1-12.會因為你在網路購物而和你起衝突,True,0.073291,6221,6221,4,4,4,4,0
103,19-2,19-2.關於上網，請問你媽媽有沒有以下的情形？,True,0.948309,347,347,1,1,1,1,0
104,19-2_1,  - 19-2-1.會規定你什麼時候可以上網，什麼時候不行,True,0.051691,6366,6366,4,4,4,4,0
105,19-2_2,  - 19-2-2.會限制你上網時間的長短,True,0.051691,6366,6366,4,4,4,4,0
106,19-2_3,  - 19-2-3.會和你一起聊網路上發生的趣聞或事件,True,0.051691,6366,6366,4,4,4,4,0
107,19-2_4,  - 19-2-4.會陪你一起上網查資料或做作業,True,0.051691,6366,6366,4,4,4,4,0
108,19-2_5,  - 19-2-5.會鼓勵你上網,True,0.051691,6366,6366,4,4,4,4,0
109,19-2_6,  - 19-2-6.會和你討論使用網路的情形和心得,True,0.051691,6366,6366,4,4,4,4,0
110,19-2_7,  - 19-2-7.擔心你上網會產生健康問題（如:眼睛、體能）,True,0.051691,6366,6366,4,4,4,4,0
111,19-2_8,  - 19-2-8.擔心你課業成績會因為上網而有不好影響,True,0.051691,6366,6366,4,4,4,4,0
112,19-2_9,  - 19-2-9.會問你在網上做什麼,True,0.051691,6366,6366,4,4,4,4,0
113,19-2_10,  - 19-2-10.會查看你的網頁瀏覽記錄,True,0.051691,6366,6366,4,4,4,4,0
114,19-2_11,  - 19-2-11.會因為你上網而責罵你,True,0.051691,6366,6366,4,4,4,4,0
115,19-2_12,  - 19-2-12.會因為你在網路購物而和你起衝突,True,0.051691,6366,6366,4,4,4,4,0
116,____小時,____小時,True,1.0,6713,6713,24,24,24,24,0
117,____分鐘,____分鐘,True,1.0,6713,6713,6,6,6,6,0
118,21-1,21-1.完成學校功課（查找完成作業需要的資料）,True,0.0,6713,6713,12,12,12,12,0
119,21-2,21-2.課外的學習（各種線上付費或免費的課程）,True,0.0,6713,6713,12,12,12,12,0
120,21-3,21-3.玩線上遊戲,True,0.0,6713,6713,12,12,12,12,0
121,21-4,21-4.看影片、聽音樂、迷因梗圖、卡通、漫畫,True,0.0,6713,6713,12,12,12,12,0
122,21-5,21-5.和他人聊天（傳訊息）,True,0.0,6713,6713,12,12,12,12,0
123,21-6,21-6.在網路上瀏覽自己有興趣的資訊,True,0.0,6713,6713,12,12,12,12,0
124,____小時.1,____小時.1,True,1.0,6713,6713,24,24,24,24,0
125,____分鐘.1,____分鐘.1,True,1.0,6713,6713,6,6,6,6,0
126,____小時.2,____小時.2,True,1.0,6713,6713,24,24,24,24,0
127,____分鐘.2,____分鐘.2,True,1.0,6713,6713,6,6,6,6,0
128,23-1,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-1.父親,True,0.0,6713,6713,6,6,6,6,0
129,23-2,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-2.母親,True,0.0,6713,6713,6,6,6,6,0
130,23-3,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-3.兄弟姊妹,True,0.0,6713,6713,6,6,6,6,0
131,23-4,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-4.同班同學,True,0.0,6713,6713,6,6,6,6,0
132,23-5,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-5.同校朋友,True,0.0,6713,6713,6,6,6,6,0
133,23-6,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-6.校外朋友,True,0.0,6713,6713,6,6,6,6,0
134,23-7,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-7.網友,True,0.0,6713,6713,6,6,6,6,0
135,23-8,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-8.學校老師、社團老師,True,0.0,6713,6713,6,6,6,6,0
136,23-9,23. 你與以下對象的即時通訊(如LINE、臉書、Wechat、WhatsAPP等)，你的使用情形如何？ - 23-9.補習班或家教老師,True,0.0,6713,6713,6,6,6,6,0
137,24-1,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-1.找人聊天給你支持或安慰。,True,0.0,6713,6713,4,4,4,4,0
138,24-2,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-2.找人討論問題，設法解決困難。,True,0.0,6713,6713,4,4,4,4,0
139,24-3,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-3.搜尋相關的資訊，設法解決困難。,True,0.0,6713,6713,4,4,4,4,0
140,24-4,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-4.瀏覽跟困難無關的資訊，轉移自己的注意力。,True,0.0,6713,6713,4,4,4,4,0
141,24-5,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-5.玩遊戲來減少困擾或壓力感受。,True,0.0,6713,6713,4,4,4,4,0
142,24-6,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-6.購物來改善心情或壓力感受。,True,0.0,6713,6713,4,4,4,4,0
143,24-7,24.當你在現實生活遇到困難感到憂慮時，你會上網： - 24-7.詢問生成式AI（如ChatGPT）,True,0.0,6713,6713,4,4,4,4,0
144,25-0,25-0.你有沒有社群媒體帳號？,True,0.0,6713,6713,2,2,2,2,0
145,25-1,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-1.我只會發佈自己看起來高興、愉快的照片。,True,0.042157,6430,6430,4,4,4,4,0
146,25-2,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-2.我會刻意選擇自己看起來好看的照片發佈。,True,0.042157,6430,6430,4,4,4,4,0
147,25-3,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-3.我會發佈對自己形象加分的訊息，即使那不是真實的情況。,True,0.042157,6430,6430,4,4,4,4,0
148,25-4,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-4我不會介意發佈自己不太好看的照片。,True,0.042157,6430,6430,4,4,4,4,0
149,25-5,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-5我不介意發佈可能對自己形象扣分的貼文。,True,0.042157,6430,6430,4,4,4,4,0
150,25-6,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-6我不介意在我的社群媒體上寫下發生在我身上的壞事。,True,0.042157,6430,6430,4,4,4,4,0
151,25-7,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-7.我會用不被發現的方式，瀏覽人們在網路上的訊息。,True,0.042157,6430,6430,4,4,4,4,0
152,25-8,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-8.我會隱藏自己正在線上活動的紀錄。,True,0.042157,6430,6430,4,4,4,4,0
153,25-9,25. 關於你在社群媒體上的行為，以下敘述符不符合你的情況。 - 25-9.我會避免加入朋友們在社群媒體上的對話，即便我正在看著他們的訊息。,True,0.042157,6430,6430,4,4,4,4,0
