,Missing Count,Missing Percentage (%)
v14_3_01,28,0.3148897885739991
v4_3,28,0.3148897885739991
v21_1,28,0.3148897885739991
v7a_6,28,0.3148897885739991
v7a_2,28,0.3148897885739991
v4_2,28,0.3148897885739991
v8_04,24,0.2699055330634278
v8_02,24,0.2699055330634278
v8_07,24,0.2699055330634278
v8_06,24,0.2699055330634278
v8_08,24,0.2699055330634278
v8_10,24,0.2699055330634278
v8_09,24,0.2699055330634278
v8_13,24,0.2699055330634278
v8_12,24,0.2699055330634278
v8_11,24,0.2699055330634278
v8_05,24,0.2699055330634278
v8_03,24,0.2699055330634278
v8_01,24,0.2699055330634278
v20_2_8,22,0.24741340530814215
v20_2_3,22,0.24741340530814215
v20_2_9,22,0.24741340530814215
v20_2_2,22,0.24741340530814215
v20_2_4,22,0.24741340530814215
v20_2_10,22,0.24741340530814215
v20_2_5,22,0.24741340530814215
v20_2_11,22,0.24741340530814215
v20_2_7,22,0.24741340530814215
v20_2_6,22,0.24741340530814215
v20_2_12,22,0.24741340530814215
v20_2_1,21,0.23616734143049933
v20_1_6,18,0.20242914979757085
v20_1_8,17,0.19118308591992803
v20_1_7,17,0.19118308591992803
v20_1_10,17,0.19118308591992803
v20_1_5,17,0.19118308591992803
v20_1_2,17,0.19118308591992803
v20_1_3,17,0.19118308591992803
v20_1_1,17,0.19118308591992803
v20_1_4,17,0.19118308591992803
v20_1_12,17,0.19118308591992803
v20_1_11,17,0.19118308591992803
v3,17,0.19118308591992803
v20_1_9,17,0.19118308591992803
cell_who,14,0.15744489428699954
v9_2,9,0.10121457489878542
v9_3,9,0.10121457489878542
v9_1,9,0.10121457489878542
