scenario,model_type,feature,coef_abs,relative_importance_pct,coef_direction
w3_predict_w3,ridge,27-1,0.04265997861607603,0.7863976875215833,negative
w3_predict_w3,ridge,29-7,0.041939821976102624,0.7731222585434032,positive
w3_predict_w3,ridge,25-7,0.04167698889639454,0.768277171115049,positive
w3_predict_w3,ridge,24-2,0.04152628944387153,0.7654991645426265,negative
w3_predict_w3,ridge,4-5,0.03972378094674375,0.732271569033586,negative
w3_predict_w3,ridge,29-4,0.03834552111554511,0.7068646096487058,positive
w3_predict_w3,ridge,26-6,0.03781595282757106,0.697102502621052,negative
w3_predict_w3,ridge,36,0.03765929556639515,0.6942146692953275,positive
w3_predict_w3,ridge,53-9,0.0368490809909635,0.679279104647022,positive
w3_predict_w3,ridge,39-8,0.035771060252157615,0.6594067783215282,negative
w3_predict_w3,ridge,25-8,0.03520539072299762,0.6489791779320331,positive
w3_predict_w3,ridge,24-4,0.033508962917669714,0.6177070829513185,positive
w3_predict_w3,ridge,11-3,0.032958694552907494,0.6075633889410683,negative
w3_predict_w3,ridge,25-6,0.031996789760410906,0.5898315538821969,negative
w3_predict_w3,ridge,11-5,0.03173016849327496,0.5849166346834147,negative
w3_predict_w3,ridge,27-2,0.030195806065362433,0.5566320667048527,positive
w3_predict_w3,ridge,25-9,0.02977992000630853,0.5489655875897128,positive
w3_predict_w3,ridge,29-2,0.02950713978460226,0.543937133696616,positive
w3_predict_w3,ridge,26-3,0.028361030799662835,0.5228096628294735,negative
w3_predict_w3,ridge,26-7,0.027456351142253293,0.5061327207958789,positive
w3_predict_w3,ridge,3,0.027215917511850193,0.5017005467281647,positive
w3_predict_w3,ridge,5-2,0.027008781051409622,0.4978821755339867,negative
w3_predict_w3,ridge,39-13,0.026817979537112943,0.4943649241314747,negative
w3_predict_w3,ridge,39-6,0.026432425794780237,0.4872575935321229,positive
w3_predict_w3,ridge,5-7,0.026045044483388055,0.4801165733687164,positive
w3_predict_w3,ridge,11-7,0.025713842985599738,0.4740111766851309,negative
w3_predict_w3,ridge,25-5,0.025615043161899716,0.4721898923008964,negative
w3_predict_w3,ridge,28-4,0.025371271286193153,0.46769618073428537,positive
w3_predict_w3,ridge,5-8,0.02514880201088581,0.4635951631219519,positive
w3_predict_w3,ridge,26-11,0.024951912177615953,0.45996567912775277,positive
w3_predict_w3,ridge,29-5,0.023051632920552283,0.42493576908375286,positive
w3_predict_w3,ridge,4-4,0.0228157742907345,0.42058793096737795,negative
w3_predict_w3,ridge,39-9,0.022628346698547047,0.4171328747330457,positive
w3_predict_w3,ridge,25-1,0.02143138859987176,0.39506804696250947,positive
w3_predict_w3,ridge,24-5,0.02121835981219171,0.3911410561049944,negative
w3_predict_w3,ridge,39-10,0.020725596280590914,0.382057411098201,positive
w3_predict_w3,ridge,26-15,0.018742384391438934,0.345498713834656,negative
w3_predict_w3,ridge,25-4,0.018136776050395403,0.33433487797748224,negative
w3_predict_w3,ridge,39-11,0.017907933535417236,0.33011637552099865,positive
w3_predict_w3,ridge,26-2,0.016221170020160963,0.29902243288846664,negative
w3_predict_w3,ridge,11-2,0.015087045336283283,0.27811588165014844,negative
w3_predict_w3,ridge,53-3,0.014755443565160153,0.27200310629373925,negative
w3_predict_w3,ridge,24-6,0.014604726245913018,0.269224770364599,negative
w3_predict_w3,ridge,39-3,0.014325354011075537,0.2640747987387075,negative
w3_predict_w3,ridge,26-8,0.014302744357443177,0.26365801045355225,negative
w3_predict_w3,ridge,27-5,0.013860330433964223,0.2555025144210228,positive
w3_predict_w3,ridge,39-12,0.013659153205049606,0.25179399620951015,positive
w3_predict_w3,ridge,11-1,0.012698776178251625,0.23409032411394615,positive
w3_predict_w3,ridge,39-7,0.012347906697759457,0.22762236615822035,negative
w3_predict_w3,ridge,53-18,0.010794026963255682,0.19897801448384012,negative
w3_predict_w3,ridge,26-10,0.010407789231247782,0.1918580751604263,positive
w3_predict_w3,ridge,26-12,0.010373711509394843,0.19122988352670953,positive
w3_predict_w3,ridge,26-9,0.010373162699838973,0.19121976672450694,negative
w3_predict_w3,ridge,29-3,0.010320329195619697,0.19024582939754253,positive
w3_predict_w3,ridge,39-1,0.01020109370980818,0.18804783227343347,positive
w3_predict_w3,ridge,25-0,0.009280525660083123,0.1710780022595658,negative
w3_predict_w3,ridge,4-3,0.008181119368565123,0.1508114528297771,negative
w3_predict_w3,ridge,4-1,0.0075549261538394984,0.13926815365389875,negative
w3_predict_w3,ridge,11-4,0.0066983003951205135,0.1234770412909363,positive
w3_predict_w3,ridge,29-1,0.005784095505237436,0.10662451030879337,positive
w3_predict_w3,ridge,26-5,0.004297773126722162,0.07922551670180822,negative
w3_predict_w3,ridge,29-9,0.00359469001847786,0.06626482266502196,negative
w3_predict_w3,ridge,27-3,0.003560722209614558,0.065638657176739,negative
w3_predict_w3,ridge,25-3,0.0033082295393830766,0.06098418573939605,positive
w3_predict_w3,ridge,26-1,0.0032715847629387236,0.06030867280220192,positive
w3_predict_w3,ridge,5-4,0.0028821849852062645,0.05313044405797026,negative
w3_predict_w3,ridge,39-4,0.002151409421111361,0.03965926492603911,negative
w3_predict_w3,ridge,5-10,0.00214933958699263,0.039621109427200915,negative
w3_predict_w3,ridge,53-14,0.0014995509501377654,0.027642850225544757,negative
w3_predict_w3,ridge,53-20,0.000623178125412715,0.011487718762097959,negative
w3_predict_w3,ridge,4-6,0.0005072452072840956,0.009350601452582503,negative
w3_predict_w3,lasso,51,0.5914635285059956,12.06547183107066,positive
w3_predict_w3,lasso,1,0.19225640847840986,3.9219058640833073,positive
