scenario,model_type,feature,shap_abs_mean,coef,coef_abs,relative_importance_pct,coef_direction
w2_predict_w2,ridge,feature_v42,0.03377615582824283,0.06810629762120637,0.06810629762120637,1.6138102285214218,positive
w2_predict_w2,ridge,feature_v27_A,0.032178417654012414,0.04036211956121833,0.04036211956121833,0.9563990947647248,positive
w2_predict_w2,ridge,feature_v25_B,0.030280671276334808,-0.037430215768803905,0.037430215768803905,0.8869262780869632,negative
w2_predict_w2,ridge,feature_v54_C,0.02514379272772309,-0.03521059228335738,0.03521059228335738,0.834331272788002,negative
w2_predict_w2,ridge,feature_v34,0.01591997480490616,0.017081492108507706,0.017081492108507706,0.4047538575130874,positive
w2_predict_w2,ridge,feature_v9,0.013562748654321196,-0.01833187019961529,0.01833187019961529,0.434382144814381,negative
w2_predict_w2,ridge,feature_v23_A,0.013175180647989117,-0.015617172860100888,0.015617172860100888,0.37005613551910965,negative
w2_predict_w2,ridge,feature_v25_A,0.011794348740575902,0.014901538183436392,0.014901538183436392,0.35309884079859644,positive
w2_predict_w2,ridge,feature_v25_C,0.011021723579442127,-0.01353975957411342,0.01353975957411342,0.3208308666836329,negative
w2_predict_w2,ridge,feature_v19,0.009825327158107518,-0.012175351725408158,0.012175351725408158,0.28850059152520396,negative
w2_predict_w2,ridge,feature_v3,0.0005063476433830324,0.0006828384530402838,0.0006828384530402838,0.01618017303000526,positive
w2_predict_w2,lasso,feature_v52,0.5759948835566551,-0.7165826024281782,0.7165826024281782,17.557264168217216,negative
w2_predict_w2,lasso,feature_v54_A,0.40585189578334774,0.4892620869076461,0.4892620869076461,11.987597351963013,positive
w2_predict_w2,lasso,feature_v1_male,0.28361900526849204,-0.2837673408804152,0.2837673408804152,6.952692054297187,negative
w2_predict_w2,lasso,feature_v8_03-v8_06,0.28180864106831915,0.35751241497298775,0.35751241497298775,8.759548294681307,positive
w2_predict_w2,lasso,feature_v28,0.2417667719532038,0.30590109520214215,0.30590109520214215,7.494999626856387,positive
w2_predict_w2,lasso,feature_v54_B,0.22127793652909528,-0.3102950064170995,0.3102950064170995,7.602656524569627,negative
w2_predict_w2,lasso,feature_v5,0.19312750671057882,-0.2360859638522293,0.2360859638522293,5.784432415350495,negative
w2_predict_w2,lasso,feature_v26_B,0.16786735478046888,0.22383475703583744,0.22383475703583744,5.484260915615524,positive
w2_predict_w2,lasso,feature_v54_E,0.1553179807473401,-0.21334354104758274,0.21334354104758274,5.227211623702142,negative
w2_predict_w2,lasso,feature_v22,0.09171439187738628,0.11508151229071366,0.11508151229071366,2.819656108478448,positive
w2_predict_w2,lasso,feature_v27_B,0.08870531413637647,-0.10729599409853594,0.10729599409853594,2.628900152189061,negative
w2_predict_w2,lasso,feature_v6,0.07421226609343035,0.09716161108662433,0.09716161108662433,2.3805937613848567,positive
w2_predict_w2,lasso,feature_v38,0.06313456794992288,0.10773959860645149,0.10773959860645149,2.639769075751109,positive
w2_predict_w2,lasso,feature_v12,0.05767563119155162,-0.07636454972971332,0.07636454972971332,1.8710370139441372,negative
w2_predict_w2,lasso,feature_v54_D,0.047260718712823814,0.05920094758257579,0.05920094758257579,1.4505050390478067,positive
w2_predict_w2,lasso,feature_v36,0.047158379715314336,0.0643645438289913,0.0643645438289913,1.5770202838348422,positive
w2_predict_w2,lasso,feature_v49,0.04591308110199168,-0.07249363339817697,0.07249363339817697,1.7761942137204716,negative
w2_predict_w2,lasso,feature_v23_C,0.04003032324850905,0.04795275679431088,0.04795275679431088,1.174908818298269,positive
